Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Smallest Divisible Digit Product II,100.0,0.09941444372153546,https://leetcode.com/problems/smallest-divisible-digit-product-ii,"Math, String, Backtracking, Greedy, Number Theory"
EASY,Smallest Divisible Digit Product I,100.0,0.65030815357708,https://leetcode.com/problems/smallest-divisible-digit-product-i,"Math, Enumeration"
MEDIUM,Delete and Earn,97.3,0.5663135226482574,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
HARD,Shortest Palindrome,90.7,0.4032944607985853,https://leetcode.com/problems/shortest-palindrome,"String, Rolling Hash, String Matching, Hash Function"
EASY,Climbing Stairs,90.7,0.5334309533232732,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Happy Number,86.7,0.5756148228328275,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Water Bottles,81.9,0.7084427632071574,https://leetcode.com/problems/water-bottles,"Math, Simulation"
MEDIUM,Maximum Subarray,81.9,0.517337265904731,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Maximum Width Ramp,76.1,0.5563657510960007,https://leetcode.com/problems/maximum-width-ramp,"Array, Two Pointers, Stack, Monotonic Stack"
EASY,Longest Common Prefix,76.1,0.44887914958697356,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Two Sum,76.1,0.55073830620608,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Nth Digit,76.1,0.3538306151171454,https://leetcode.com/problems/nth-digit,"Math, Binary Search"
MEDIUM,Longest Substring Without Repeating Characters,76.1,0.36326739028764643,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Rotate Array,68.6,0.4246129025088285,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Koko Eating Bananas,68.6,0.4882386406773344,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Reverse Words in a String,68.6,0.5006655553343949,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
EASY,Best Time to Buy and Sell Stock,68.6,0.5476983375238307,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Letter Combinations of a Phone Number,68.6,0.6308024789795272,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Perfect Squares,68.6,0.5543482455447708,https://leetcode.com/problems/perfect-squares,"Math, Dynamic Programming, Breadth-First Search"
MEDIUM,Coin Change,68.6,0.4581318869257332,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Integer Break,68.6,0.6093029552656559,https://leetcode.com/problems/integer-break,"Math, Dynamic Programming"
EASY,Single Number,58.1,0.7533126891872519,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
EASY,Next Greater Element I,58.1,0.7392602277312192,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
HARD,Divide Nodes Into the Maximum Number of Groups,58.1,0.6763394918199294,https://leetcode.com/problems/divide-nodes-into-the-maximum-number-of-groups,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Number of Islands,58.1,0.6158098610315189,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Reverse String,58.1,0.7951848618158089,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
EASY,Contains Duplicate II,58.1,0.4812787606605669,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Search Insert Position,58.1,0.48338471308093395,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
EASY,Number of Good Pairs,58.1,0.8948689794402794,https://leetcode.com/problems/number-of-good-pairs,"Array, Hash Table, Math, Counting"
MEDIUM,Bulb Switcher,58.1,0.5371863022251513,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser"
EASY,Fibonacci Number,58.1,0.725365762761355,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
EASY,Roman to Integer,58.1,0.6415384520308907,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Maximum Number of Moves in a Grid,58.1,0.5906600185291229,https://leetcode.com/problems/maximum-number-of-moves-in-a-grid,"Array, Dynamic Programming, Matrix"
EASY,Maximum Number of Balls in a Box,58.1,0.7414002265868601,https://leetcode.com/problems/maximum-number-of-balls-in-a-box,"Hash Table, Math, Counting"
EASY,Remove Duplicates from Sorted Array,58.1,0.5945073794072526,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Find the Winner of the Circular Game,58.1,0.8198418795622783,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
MEDIUM,Separate Black and White Balls,58.1,0.6474404605314062,https://leetcode.com/problems/separate-black-and-white-balls,"Two Pointers, String, Greedy"
EASY,Merge Sorted Array,58.1,0.5225685620549644,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Unique Paths,58.1,0.6540333117108035,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
