Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Bulb Switcher,100.0,0.5371863022251513,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser"
EASY,Two Sum,94.5,0.5507383212976659,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Happy Number,94.5,0.5756148228328275,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Palindrome Number,87.3,0.5865358187281793,https://leetcode.com/problems/palindrome-number,Math
EASY,Best Time to Buy and Sell Stock,83.7,0.5476983375238307,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Climbing Stairs,83.7,0.5334309533232732,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Valid Parentheses,81.7,0.4184516028462347,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Roman to Integer,79.5,0.6415384520308907,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Rotate Array,79.5,0.4246129025088285,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Longest Palindromic Substring,74.2,0.35298354554737815,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Spiral Matrix,74.2,0.5293293309140568,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,3Sum,71.1,0.3642310760210535,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Reverse Integer,71.1,0.29864351030532243,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Largest Number,71.1,0.40860609611684745,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
EASY,Sort Integers by The Number of 1 Bits,71.1,0.7856592284271785,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,"Array, Bit Manipulation, Sorting, Counting"
EASY,Longest Common Prefix,67.5,0.44887920766038447,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Valid Anagram,67.5,0.6615048903757135,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Find Peak Element,67.5,0.4633550494884941,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Maximum Subarray,67.5,0.517337265904731,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Merge Sorted Array,67.5,0.5225686145809615,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Plus One,63.2,0.47046384883213455,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Product of Array Except Self,58.0,0.6738338408668898,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Add Two Numbers,58.0,0.4543970952355893,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Majority Element,58.0,0.6549764296407975,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Longest Substring Without Repeating Characters,58.0,0.36326742306932513,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Reverse Words in a String,58.0,0.5006655553343949,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
EASY,Assign Cookies,58.0,0.5347465656290613,https://leetcode.com/problems/assign-cookies,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Container With Most Water,58.0,0.5717347811091977,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Increasing Subsequence,58.0,0.5717087413452131,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Perfect Squares,58.0,0.5543482455447708,https://leetcode.com/problems/perfect-squares,"Math, Dynamic Programming, Breadth-First Search"
EASY,Remove Duplicates from Sorted Array,58.0,0.5945074209063841,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Reverse Vowels of a String,58.0,0.5701990983588783,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
HARD,Median of Two Sorted Arrays,51.3,0.42939384769847777,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Pascal's Triangle,51.3,0.7642549131700594,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Integer Break,51.3,0.6093029552656559,https://leetcode.com/problems/integer-break,"Math, Dynamic Programming"
EASY,Sqrt(x),51.3,0.40027090487843836,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,House Robber,51.3,0.519883110494078,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Find the Index of the First Occurrence in a String,51.3,0.4446360977105217,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Find First and Last Position of Element in Sorted Array,51.3,0.46149736415972514,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Edit Distance,51.3,0.5819004009146251,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
EASY,Sort Array by Increasing Frequency,51.3,0.8008801766801541,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
EASY,Valid Palindrome,51.3,0.5015491827413218,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Merge Intervals,51.3,0.48806536402437767,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Count Tested Devices After Test Operations,42.0,0.7955288339402151,https://leetcode.com/problems/count-tested-devices-after-test-operations,"Array, Simulation, Counting"
EASY,Make The String Great,42.0,0.6824952920301699,https://leetcode.com/problems/make-the-string-great,"String, Stack"
EASY,Move Zeroes,42.0,0.6254443673391712,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Minimum Right Shifts to Sort the Array,42.0,0.5799920360216865,https://leetcode.com/problems/minimum-right-shifts-to-sort-the-array,Array
MEDIUM,Ugly Number II,42.0,0.4918451993703555,https://leetcode.com/problems/ugly-number-ii,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)"
EASY,Ant on the Boundary,42.0,0.7474631606811966,https://leetcode.com/problems/ant-on-the-boundary,"Array, Simulation, Prefix Sum"
MEDIUM,Delete and Earn,42.0,0.5663135226482574,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
EASY,Maximum Area of Longest Diagonal Rectangle,42.0,0.36658543876654376,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array
EASY,Reverse Linked List,42.0,0.7865003801890073,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Sum of Values at Indices With K Set Bits,42.0,0.8610770855332629,https://leetcode.com/problems/sum-of-values-at-indices-with-k-set-bits,"Array, Bit Manipulation"
EASY,Permutation Difference between Two Strings,42.0,0.8801496604172597,https://leetcode.com/problems/permutation-difference-between-two-strings,"Hash Table, String"
EASY,Find Subsequence of Length K With the Largest Sum,42.0,0.4502143568572542,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum,"Array, Hash Table, Sorting, Heap (Priority Queue)"
MEDIUM,"Pow(x, n)",42.0,0.3647738701439345,https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,Intersection of Two Linked Lists,42.0,0.6025972168874565,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
EASY,Max Consecutive Ones,42.0,0.6177042696022433,https://leetcode.com/problems/max-consecutive-ones,Array
MEDIUM,Generate Parentheses,42.0,0.7652983483077801,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Peak Index in a Mountain Array,42.0,0.6777308051945117,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search"
MEDIUM,Rotate Image,42.0,0.7717078200311817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Maximum Product Subarray,42.0,0.3452959907544604,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Letter Combinations of a Phone Number,42.0,0.6308024789795272,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Find Unique Binary String,42.0,0.7937429863448996,https://leetcode.com/problems/find-unique-binary-string,"Array, Hash Table, String, Backtracking"
MEDIUM,Search a 2D Matrix,42.0,0.5177724068516931,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
EASY,Fibonacci Number,42.0,0.725365762761355,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
EASY,Middle of the Linked List,42.0,0.8011815154246367,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
EASY,Create Hello World Function,42.0,0.8182460877632457,https://leetcode.com/problems/create-hello-world-function,
MEDIUM,Palindromic Substrings,42.0,0.7126860621197902,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
HARD,Integer to English Words,42.0,0.3425973688509723,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,Set Matrix Zeroes,42.0,0.5893212864889642,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
EASY,Remove Element,42.0,0.5943800610683482,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Group Anagrams,42.0,0.7033700046410984,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Find Original Array From Doubled Array,42.0,0.40511797466625304,https://leetcode.com/problems/find-original-array-from-doubled-array,"Array, Hash Table, Greedy, Sorting"
EASY,Remove Duplicates from Sorted List,42.0,0.5435983387744974,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
HARD,Candy,42.0,0.44384084689379416,https://leetcode.com/problems/candy,"Array, Greedy"
EASY,Excel Sheet Column Title,42.0,0.428544312852264,https://leetcode.com/problems/excel-sheet-column-title,"Math, String"
MEDIUM,Second Highest Salary,42.0,0.42976866224688043,https://leetcode.com/problems/second-highest-salary,Database
EASY,Contains Duplicate,42.0,0.6281697209273013,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Basic Calculator II,42.0,0.4525733686150466,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
EASY,Number of Days Between Two Dates,42.0,0.5106229295872874,https://leetcode.com/problems/number-of-days-between-two-dates,"Math, String"
