Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Bulb Switcher,100.0,0.5371851376516726,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser"
EASY,Happy Number,99.1,0.5756148228328275,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Two Sum,97.0,0.5507383212976659,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Climbing Stairs,92.4,0.5334309533232732,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Best Time to Buy and Sell Stock,86.7,0.5476982875065078,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Palindrome Number,86.7,0.5865358591700147,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Rotate Array,83.2,0.4246129025088285,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Roman to Integer,81.3,0.6415384520308907,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Maximum Subarray,79.2,0.517337265904731,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Valid Parentheses,79.2,0.4184516028462347,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Delete and Earn,79.2,0.5663135226482574,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
EASY,Find Subsequence of Length K With the Largest Sum,76.9,0.4502143568572542,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum,"Array, Hash Table, Sorting, Heap (Priority Queue)"
EASY,Maximum Area of Longest Diagonal Rectangle,76.9,0.36658543876654376,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array
EASY,Ant on the Boundary,76.9,0.7474631606811966,https://leetcode.com/problems/ant-on-the-boundary,"Array, Simulation, Prefix Sum"
EASY,Sum of Values at Indices With K Set Bits,76.9,0.8610770855332629,https://leetcode.com/problems/sum-of-values-at-indices-with-k-set-bits,"Array, Bit Manipulation"
EASY,Permutation Difference between Two Strings,76.9,0.8801496604172597,https://leetcode.com/problems/permutation-difference-between-two-strings,"Hash Table, String"
EASY,Longest Common Prefix,76.9,0.44887920766038447,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Minimum Right Shifts to Sort the Array,76.9,0.5799920360216865,https://leetcode.com/problems/minimum-right-shifts-to-sort-the-array,Array
EASY,Count Tested Devices After Test Operations,76.9,0.7955288339402151,https://leetcode.com/problems/count-tested-devices-after-test-operations,"Array, Simulation, Counting"
MEDIUM,Longest Palindromic Substring,74.4,0.35298354554737815,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,3Sum,71.5,0.36423112822116194,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Spiral Matrix,71.5,0.5293293309140568,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Reverse Integer,71.5,0.29864351030532243,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Largest Number,71.5,0.40860609611684745,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,71.5,0.36326742306932513,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Merge Sorted Array,71.5,0.5225685510861772,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Perfect Squares,68.3,0.5543482455447708,https://leetcode.com/problems/perfect-squares,"Math, Dynamic Programming, Breadth-First Search"
EASY,Sort Integers by The Number of 1 Bits,68.3,0.7856592284271785,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,"Array, Bit Manipulation, Sorting, Counting"
MEDIUM,Reverse Words in a String,68.3,0.5006655553343949,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Integer Break,64.6,0.6093029552656559,https://leetcode.com/problems/integer-break,"Math, Dynamic Programming"
MEDIUM,Find Peak Element,64.6,0.4633550494884941,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Valid Anagram,64.6,0.6615048903757135,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Remove Duplicates from Sorted Array,64.6,0.5945074209063841,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Longest Increasing Subsequence,60.2,0.5717087413452131,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
EASY,Majority Element,60.2,0.6549764296407975,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Plus One,60.2,0.47046384883213455,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Container With Most Water,60.2,0.5717347811091977,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Add Two Numbers,60.2,0.45439714038074475,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Product of Array Except Self,60.2,0.6738338408668898,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Coin Change,54.9,0.4581317914913721,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Assign Cookies,54.9,0.5347465656290613,https://leetcode.com/problems/assign-cookies,"Array, Two Pointers, Greedy, Sorting"
EASY,Fibonacci Number,54.9,0.725365762761355,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
EASY,Next Greater Element I,54.9,0.7392602277312192,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
EASY,Reverse Vowels of a String,54.9,0.5701990983588783,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
EASY,Valid Palindrome,54.9,0.5015493093715624,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,House Robber,54.9,0.519883110494078,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Pascal's Triangle,54.9,0.7642549131700594,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Nth Digit,54.9,0.3538306151171454,https://leetcode.com/problems/nth-digit,"Math, Binary Search"
EASY,Is Subsequence,48.0,0.48208671205272857,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Koko Eating Bananas,48.0,0.4882386406773344,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Unique Paths,48.0,0.6540333117108035,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
EASY,Sort Array by Increasing Frequency,48.0,0.8008801766801541,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
MEDIUM,Edit Distance,48.0,0.5819004009146251,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Peak Index in a Mountain Array,48.0,0.6777308051945117,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search"
HARD,Median of Two Sorted Arrays,48.0,0.42939384769847777,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Perfect Number,48.0,0.43952606651533493,https://leetcode.com/problems/perfect-number,Math
EASY,Contains Duplicate,48.0,0.6281697209273013,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Sqrt(x),48.0,0.40027090487843836,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Max Consecutive Ones,48.0,0.6177042696022433,https://leetcode.com/problems/max-consecutive-ones,Array
EASY,Remove Element,48.0,0.5943800610683482,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Rotate Image,48.0,0.7717078200311817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Count Primes,48.0,0.3443042097327137,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
MEDIUM,Merge Intervals,48.0,0.48806536402437767,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Second Highest Salary,48.0,0.42976866224688043,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Find First and Last Position of Element in Sorted Array,48.0,0.46149736415972514,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,Find the Index of the First Occurrence in a String,48.0,0.4446360977105217,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Majority Element II,38.5,0.536895198618059,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting"
EASY,Reverse Linked List,38.5,0.7865003801890073,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Next Permutation,38.5,0.4232406617933256,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Integer to Roman,38.5,0.6785819392780784,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Daily Temperatures,38.5,0.6696875420486569,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
EASY,Count Operations to Obtain Zero,38.5,0.7469466172636201,https://leetcode.com/problems/count-operations-to-obtain-zero,"Math, Simulation"
EASY,Average Value of Even Numbers That Are Divisible by Three,38.5,0.6133306790839378,https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three,"Array, Math"
MEDIUM,Single Number II,38.5,0.6466744860703085,https://leetcode.com/problems/single-number-ii,"Array, Bit Manipulation"
MEDIUM,Search a 2D Matrix,38.5,0.5177724068516931,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
EASY,Count Pairs Whose Sum is Less than Target,38.5,0.8756359051674734,https://leetcode.com/problems/count-pairs-whose-sum-is-less-than-target,"Array, Two Pointers, Binary Search, Sorting"
HARD,Integer to English Words,38.5,0.3425973688509723,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
EASY,Min Cost Climbing Stairs,38.5,0.6680748457520747,https://leetcode.com/problems/min-cost-climbing-stairs,"Array, Dynamic Programming"
EASY,Intersection of Two Linked Lists,38.5,0.6025972168874565,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
EASY,Make The String Great,38.5,0.6824952920301699,https://leetcode.com/problems/make-the-string-great,"String, Stack"
