Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Climbing Stairs,100.0,0.5334306393969427,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Replace the Substring for Balanced String,100.0,0.39167024817343155,https://leetcode.com/problems/replace-the-substring-for-balanced-string,"String, Sliding Window"
EASY,Two Sum,85.9,0.5507399605573831,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,85.9,0.3632698290496073,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Longest Common Prefix,85.9,0.4488797680940985,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Valid Parentheses,85.9,0.41845326639767877,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Trapping Rain Water,74.8,0.6428760461206362,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Binary Tree Right Side View,74.8,0.6563572448363008,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Reverse Vowels of a String,74.8,0.5702043770576488,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
HARD,Largest Color Value in a Directed Graph,74.8,0.4950047164290091,https://leetcode.com/problems/largest-color-value-in-a-directed-graph,"Hash Table, Dynamic Programming, Graph, Topological Sort, Memoization, Counting"
MEDIUM,Longest Palindromic Substring,74.8,0.35298645197098805,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Merge Operations to Turn Array Into a Palindrome,74.8,0.6913349327044281,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,"Array, Two Pointers, Greedy"
