Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Replace the Substring for Balanced String,100.0,0.39167024817343155,https://leetcode.com/problems/replace-the-substring-for-balanced-string,"String, Sliding Window"
MEDIUM,Merge Operations to Turn Array Into a Palindrome,91.0,0.6913349327044281,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,"Array, Two Pointers, Greedy"
EASY,Climbing Stairs,79.8,0.5334306393969427,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Two Sum,75.8,0.5507399605573831,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Longest Common Prefix,64.5,0.4488797680940985,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Valid Parentheses,64.5,0.41845326639767877,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Palindromic Substring,64.5,0.35298651430614997,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,64.5,0.3632698290496073,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Trapping Rain Water,55.6,0.6428760461206362,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Binary Tree Right Side View,55.6,0.6563572448363008,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Reverse Vowels of a String,55.6,0.5702043770576488,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
HARD,Largest Color Value in a Directed Graph,55.6,0.4950047164290091,https://leetcode.com/problems/largest-color-value-in-a-directed-graph,"Hash Table, Dynamic Programming, Graph, Topological Sort, Memoization, Counting"
MEDIUM,Search in Rotated Sorted Array,55.6,0.4232403819200705,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Longest Common Subsequence,55.6,0.579922580471183,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
MEDIUM,Remove Duplicates from Sorted Array II,55.6,0.6215273783939219,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
MEDIUM,Container With Most Water,55.6,0.5717354746646991,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Consecutive Sequence,55.6,0.47190348444286484,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Asteroid Collision,55.6,0.4510743443120267,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Best Time to Buy and Sell Stock,55.6,0.5477005781041479,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
