Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507380058616134,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Longest Common Prefix,79.1,0.44887909992484765,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,3Sum,78.5,0.3642306371984945,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Median of Two Sorted Arrays,76.2,0.429393714636432,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Longest Substring Without Repeating Characters,75.9,0.36326698199128166,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Roman to Integer,74.4,0.6415382294669726,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Add Two Numbers,72.9,0.45439666615310353,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Merge Sorted Array,72.9,0.5225683072259871,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Reverse Integer,72.5,0.29864317763528553,https://leetcode.com/problems/reverse-integer,Math
HARD,Trapping Rain Water,71.2,0.6428751630743017,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Climbing Stairs,67.8,0.5334308111113989,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Palindrome Number,67.8,0.5865360557280641,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Container With Most Water,66.8,0.5717347175888353,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Group Anagrams,66.2,0.7033699227766231,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Remove Element,65.6,0.594380255866597,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Valid Parentheses,65.6,0.4184517326939315,https://leetcode.com/problems/valid-parentheses,"String, Stack"
