Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Capacity To Ship Packages Within D Days,100.0,0.7138854391536156,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Longest Substring Without Repeating Characters,97.4,0.3632673299746451,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,3Sum,97.4,0.3642311722734099,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Brick Wall,91.2,0.5578025414599523,https://leetcode.com/problems/brick-wall,"Array, Hash Table"
EASY,Best Time to Buy and Sell Stock,77.5,0.54769845918599,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,House Robber,77.5,0.5198825703884936,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Coin Change,70.5,0.45813205213292446,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
HARD,Minimum Window Substring,70.5,0.4466494013555106,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Triangle,70.5,0.5860471430753305,https://leetcode.com/problems/triangle,"Array, Dynamic Programming"
HARD,Find Median from Data Stream,60.6,0.5297421459036044,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
EASY,Plus One,60.6,0.4704637891650657,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Group Anagrams,60.6,0.7033699980053357,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Jump Game II,60.6,0.4113848395686171,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
EASY,Valid Parentheses,60.6,0.41845182518164614,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Course Schedule,60.6,0.4847685429933663,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Kth Smallest Element in a BST,60.6,0.747138916863736,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Longest Palindromic Substring,60.6,0.3529838232226668,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Find the Child Who Has the Ball After K Seconds,60.6,0.6197784678350049,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds,"Math, Simulation"
EASY,Can Place Flowers,60.6,0.28821545536822496,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
EASY,Sort Array by Increasing Frequency,60.6,0.8008801766801541,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
EASY,Last Stone Weight,60.6,0.6579790192869344,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
EASY,Move Zeroes,60.6,0.625445126967893,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
