Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Capacity To Ship Packages Within D Days,100.0,0.7138854391536156,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,3Sum,94.3,0.3642311722734099,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,92.0,0.3632673112721386,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Find the Child Who Has the Ball After K Seconds,92.0,0.6197784678350049,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds,"Math, Simulation"
EASY,Best Time to Buy and Sell Stock,86.7,0.54769845918599,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Brick Wall,83.5,0.5578025414599523,https://leetcode.com/problems/brick-wall,"Array, Hash Table"
MEDIUM,Unique Paths II,79.8,0.42759250543071176,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
EASY,Minimum Absolute Difference,75.5,0.7032801823721263,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,House Robber,75.5,0.5198826617601916,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Daily Temperatures,70.2,0.6696880769329244,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Triangle,70.2,0.5860471430753305,https://leetcode.com/problems/triangle,"Array, Dynamic Programming"
MEDIUM,Coin Change,63.4,0.45813205213292446,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Integer to Roman,63.4,0.6785824425620389,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
HARD,Minimum Window Substring,63.4,0.4466494013555106,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
EASY,Squares of a Sorted Array,53.8,0.7309301693003689,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Longest Palindromic Substring,53.8,0.3529838232226668,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Merge Sorted Array,53.8,0.5225686976951479,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Merge Intervals,53.8,0.48806570966196816,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Find the Smallest Divisor Given a Threshold,53.8,0.6264430680321406,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
EASY,Next Greater Element I,53.8,0.7392600600434117,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
EASY,Two Sum,53.8,0.5507384196250273,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Insert Delete GetRandom O(1),53.8,0.5490687367275053,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Min Stack,53.8,0.5591504202593839,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Permutation in String,53.8,0.46841431116519444,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Jump Game II,53.8,0.4113848395686171,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Decode String,53.8,0.6068663102813175,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Reverse Substrings Between Each Pair of Parentheses,53.8,0.7176246917608379,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"String, Stack"
MEDIUM,Lexicographically Smallest String After Substring Operation,53.8,0.3255306806462702,https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation,"String, Greedy"
EASY,Last Stone Weight,53.8,0.6579790192869344,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
EASY,Move Zeroes,53.8,0.625445126967893,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Sort Array by Increasing Frequency,53.8,0.8008801766801541,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
EASY,Can Place Flowers,53.8,0.28821537896266325,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
HARD,Find Median from Data Stream,53.8,0.5297421459036044,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Kth Smallest Element in a BST,53.8,0.747138916863736,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Course Schedule,53.8,0.4847685429933663,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Plus One,53.8,0.4704637891650657,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Group Anagrams,53.8,0.7033699980053357,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Valid Parentheses,53.8,0.4184518675827462,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Subarray Product Less Than K,53.8,0.5237852374403545,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
