Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Palindrome Pairs,100.0,0.3602233547703319,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie"
MEDIUM,Flatten 2D Vector,94.3,0.49992264167624434,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
MEDIUM,Combination Sum,91.3,0.7393128847591091,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,Maximum Profit in Job Scheduling,90.2,0.543351798175992,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Text Justification,90.2,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Pour Water,87.8,0.47592635212888384,https://leetcode.com/problems/pour-water,"Array, Simulation"
MEDIUM,Smallest Common Region,86.5,0.6785071206416763,https://leetcode.com/problems/smallest-common-region,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search"
HARD,Trapping Rain Water,85.2,0.6428751803883069,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Sliding Puzzle,85.2,0.7298615027887447,https://leetcode.com/problems/sliding-puzzle,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
MEDIUM,Cheapest Flights Within K Stops,85.2,0.40061210982959206,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
HARD,Alien Dictionary,85.2,0.36424325014905035,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Employee Free Time,78.7,0.7250129048185471,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,IP to CIDR,78.7,0.5565762087736151,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
HARD,Shortest Path to Get All Keys,78.7,0.5365046616190124,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
HARD,Word Search II,76.8,0.37015730670464075,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
EASY,Contains Duplicate II,76.8,0.4812775643652191,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Two Sum,76.8,0.5507379737260433,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Basic Calculator II,76.8,0.4525723115520189,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
EASY,Intersection of Two Linked Lists,76.8,0.6025967730144908,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
HARD,Minimum Window Substring,76.8,0.44664959668017445,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,House Robber,74.6,0.5198829428860322,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Mini Parser,74.6,0.39636241670200045,https://leetcode.com/problems/mini-parser,"String, Stack, Depth-First Search"
HARD,Regular Expression Matching,74.6,0.2897185995054015,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
EASY,Valid Parentheses,74.6,0.4184518107699372,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Merge k Sorted Lists,74.6,0.5579527019694123,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Minimize Rounding Error to Meet Target,74.6,0.4534945287680904,https://leetcode.com/problems/minimize-rounding-error-to-meet-target,"Array, Math, String, Greedy, Sorting"
MEDIUM,Pyramid Transition Matrix,74.6,0.5284149288722305,https://leetcode.com/problems/pyramid-transition-matrix,"Bit Manipulation, Depth-First Search, Breadth-First Search"
MEDIUM,Convert to Base -2,74.6,0.6129353039815935,https://leetcode.com/problems/convert-to-base-2,Math
MEDIUM,Strings Differ by One Character,74.6,0.4124159370638244,https://leetcode.com/problems/strings-differ-by-one-character,"Hash Table, String, Rolling Hash, Hash Function"
MEDIUM,Minimum Number of Vertices to Reach All Nodes,74.6,0.8108704080643598,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes,Graph
MEDIUM,Robot Bounded In Circle,74.6,0.5615320286935435,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
EASY,Add Strings,74.6,0.5173800837939878,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
HARD,Maximum Candies You Can Get from Boxes,74.6,0.5757327147221908,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,"Array, Breadth-First Search, Graph"
HARD,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,74.6,0.725194689908405,https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,"Array, Hash Table, Bit Manipulation, Breadth-First Search, Matrix"
MEDIUM,Number of Ways to Build House of Cards,74.6,0.6184863523573201,https://leetcode.com/problems/number-of-ways-to-build-house-of-cards,"Math, Dynamic Programming"
EASY,Happy Number,74.6,0.5756141841654789,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Design File System,74.6,0.6379296261673761,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
EASY,Convert Sorted Array to Binary Search Tree,74.6,0.7354589232208666,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Add Two Numbers,74.6,0.4543968015889453,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Single Number,74.6,0.753312475822824,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Maximal Square,74.6,0.48227954234941156,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
HARD,Contains Duplicate III,74.6,0.23399128698863772,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
EASY,Contains Duplicate,74.6,0.6281693854768188,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
