Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507379391732659,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,LRU Cache,97.7,0.4443099993738651,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,92.6,0.6158088481082719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Trapping Rain Water,86.9,0.6428754576577578,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Group Anagrams,81.9,0.7033699077307562,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Best Time to Buy and Sell Stock,81.3,0.5476982268271333,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Course Schedule,80.0,0.4847667258580437,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Longest Substring Without Repeating Characters,78.6,0.36326683195221254,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Merge Intervals,77.1,0.48806483972644993,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Course Schedule II,76.3,0.5263019025135398,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Search in Rotated Sorted Array,76.3,0.42323959794375277,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Add Two Numbers,75.4,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Merge k Sorted Lists,75.4,0.5579527291964019,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Top K Frequent Elements,73.7,0.6408009414896952,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Word Ladder,73.7,0.41846750386296455,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Jump Game,72.8,0.3911361530458638,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,3Sum,71.8,0.3642306306614018,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Merge Sorted Array,70.8,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
HARD,Median of Two Sorted Arrays,69.7,0.429393695737594,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Word Search,69.7,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Longest Common Prefix,69.7,0.4488789191360456,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Climbing Stairs,68.6,0.5334306510493801,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Valid Parentheses,67.4,0.41845178338385963,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Palindromic Substring,67.4,0.35298351728815647,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Subarray Sum Equals K,66.2,0.44931294221552387,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Insert Delete GetRandom O(1),66.2,0.5490693218065985,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Remove Duplicates from Sorted Array,66.2,0.5945073984213194,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Product of Array Except Self,66.2,0.6738352589943034,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Generate Parentheses,66.2,0.7652984707443845,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Find Median from Data Stream,64.8,0.5297430019089757,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Maximum Subarray,64.8,0.5173369031138303,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Kth Largest Element in an Array,64.8,0.6762042927765874,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Copy List with Random Pointer,64.8,0.5950407415071429,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Longest Consecutive Sequence,63.4,0.47190632479749517,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,House Robber,63.4,0.5198829807257334,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Coin Change,63.4,0.4581322419962037,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Subsets,63.4,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Letter Combinations of a Phone Number,61.9,0.630801560094736,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
HARD,Sliding Window Maximum,61.9,0.4724660010659033,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Majority Element,61.9,0.6549768718528167,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Basic Calculator II,60.3,0.4525727790930288,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Spiral Matrix,60.3,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Jump Game II,60.3,0.411384657702939,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Lowest Common Ancestor of a Binary Tree,58.6,0.656696581898547,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Binary Tree Level Order Traversal,58.6,0.6982010981098483,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Asteroid Collision,58.6,0.451076014552259,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Word Break,56.7,0.4787520054450873,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Sort Colors,56.7,0.6636207416579357,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Palindrome Number,56.7,0.5865359786032988,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Reverse Integer,54.6,0.2986431235283417,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Number of Provinces,54.6,0.6801591750679402,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Meeting Rooms II,54.6,0.519155338047899,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,"Pow(x, n)",54.6,0.36477414313789447,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Best Time to Buy and Sell Stock II,52.3,0.6885635514213032,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Valid Sudoku,52.3,0.6165260121677019,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,Word Search II,52.3,0.37015748734698894,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Next Permutation,52.3,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Gas Station,52.3,0.45978104350419424,https://leetcode.com/problems/gas-station,"Array, Greedy"
EASY,First Unique Character in a String,52.3,0.6322655217965654,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
HARD,Concatenated Words,52.3,0.4935315836171613,https://leetcode.com/problems/concatenated-words,"Array, String, Dynamic Programming, Depth-First Search, Trie"
EASY,Pascal's Triangle,52.3,0.7642548455060169,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Container With Most Water,49.8,0.5717349963766004,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Diameter of Binary Tree,49.8,0.6275677346995255,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Combination Sum,49.8,0.7393127109003892,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Rotate Image,49.8,0.7717075756878434,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Binary Tree Zigzag Level Order Traversal,49.8,0.6100934725237581,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Rotate Array,49.8,0.42461218598337636,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Maximum Product Subarray,49.8,0.34529578390082155,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Plates Between Candles,49.8,0.4616728806004995,https://leetcode.com/problems/plates-between-candles,"Array, String, Binary Search, Prefix Sum"
HARD,Word Break II,46.9,0.5293057650661437,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
EASY,Sqrt(x),46.9,0.40027057699287866,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Next Greater Element I,46.9,0.7392596254314822,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
EASY,Move Zeroes,46.9,0.6254444097752963,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
HARD,Largest Rectangle in Histogram,46.9,0.46599450145130683,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,LFU Cache,46.9,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Merge Two Sorted Lists,46.9,0.6628950066486677,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
HARD,Basic Calculator,46.9,0.44856090532806625,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,4Sum,43.6,0.37601615398210986,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
EASY,Valid Anagram,43.6,0.6615040888035806,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Symmetric Tree,43.6,0.586338342188093,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Roman to Integer,43.6,0.6415381579437106,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Isomorphic Strings,43.6,0.4641647063305628,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Evaluate Reverse Polish Notation,43.6,0.5407071514265478,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
MEDIUM,Unique Paths,43.6,0.6540336762085056,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
HARD,Regular Expression Matching,43.6,0.2897186408628305,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Longest Repeating Character Replacement,39.7,0.5641856537289707,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Next Greater Element II,39.7,0.6557878614300301,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack"
HARD,Serialize and Deserialize Binary Tree,39.7,0.5835188850889353,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Integer to Roman,39.7,0.6785817320845001,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Plus One,39.7,0.4704645158930268,https://leetcode.com/problems/plus-one,"Array, Math"
HARD,Reverse Nodes in k-Group,39.7,0.6204624534215137,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Search a 2D Matrix,35.0,0.517771973601362,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
EASY,Single Number,35.0,0.7533125320290354,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
EASY,Valid Palindrome,35.0,0.50154829986792,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
HARD,Integer to English Words,35.0,0.3425965231843453,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,Decode String,29.0,0.6068658165402278,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Fizz Buzz,29.0,0.7390290860286032,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
MEDIUM,01 Matrix,29.0,0.5068419003485048,https://leetcode.com/problems/01-matrix,"Array, Dynamic Programming, Breadth-First Search, Matrix"
EASY,Missing Number,29.0,0.6934726547265183,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Decode Ways,21.1,0.3610500448626439,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
