Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507379391732659,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Trapping Rain Water,89.3,0.6428754576577578,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Group Anagrams,85.0,0.7033699077307562,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Best Time to Buy and Sell Stock,84.4,0.5476982268271333,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Merge Sorted Array,81.7,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,80.4,0.36326683195221254,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Word Ladder,75.4,0.41846750386296455,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Merge Intervals,75.4,0.48806483972644993,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Jump Game,75.0,0.3911361530458638,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Add Two Numbers,74.6,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Merge k Sorted Lists,73.1,0.5579527291964019,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Longest Palindromic Substring,72.7,0.35298351728815647,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Copy List with Random Pointer,71.6,0.5950405091846978,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Longest Common Prefix,71.6,0.4488789299096737,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,3Sum,71.6,0.3642306306614018,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Search in Rotated Sorted Array,70.6,0.42323959794375277,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Valid Parentheses,70.6,0.41845178338385963,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Generate Parentheses,69.4,0.7652984707443845,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Maximum Subarray,69.4,0.5173369031138303,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Climbing Stairs,68.2,0.5334306510493801,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Word Search,67.6,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Palindrome Number,65.6,0.5865359786032988,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Longest Consecutive Sequence,64.9,0.47190632479749517,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Letter Combinations of a Phone Number,62.6,0.630801560094736,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Spiral Matrix,62.6,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Jump Game II,60.9,0.411384657702939,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Container With Most Water,60.0,0.5717349963766004,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Remove Duplicates from Sorted Array,60.0,0.5945074399206146,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
HARD,Largest Rectangle in Histogram,60.0,0.46599450145130683,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Subsets,59.1,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Best Time to Buy and Sell Stock II,58.1,0.6885635514213032,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
HARD,Binary Tree Maximum Path Sum,57.0,0.40904480368731844,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,"Pow(x, n)",57.0,0.36477414313789447,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Gas Station,57.0,0.45978104350419424,https://leetcode.com/problems/gas-station,"Array, Greedy"
EASY,Roman to Integer,57.0,0.6415381579437106,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Binary Tree Level Order Traversal,55.9,0.6982011763903331,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Valid Sudoku,55.9,0.6165260121677019,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,First Missing Positive,55.9,0.4063430225538805,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Unique Paths,54.8,0.6540336762085056,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Next Permutation,54.8,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Reverse Integer,54.8,0.2986431235283417,https://leetcode.com/problems/reverse-integer,Math
EASY,Merge Two Sorted Lists,54.8,0.6628950512738302,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Plates Between Candles,53.5,0.4616728806004995,https://leetcode.com/problems/plates-between-candles,"Array, String, Binary Search, Prefix Sum"
MEDIUM,Binary Tree Zigzag Level Order Traversal,53.5,0.6100934725237581,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Sort Colors,53.5,0.6636207416579357,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Rotate Image,53.5,0.7717075756878434,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Find the Index of the First Occurrence in a String,52.2,0.4446359717405063,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Find First and Last Position of Element in Sorted Array,52.2,0.46149691260376985,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,Remove Element,52.2,0.594380251634076,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Combination Sum,50.8,0.7393127109003892,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Integer to Roman,50.8,0.6785814508062822,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
HARD,Longest Valid Parentheses,50.8,0.35694464228573786,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,Zigzag Conversion,50.8,0.5079123792658975,https://leetcode.com/problems/zigzag-conversion,String
EASY,Pascal's Triangle,49.3,0.7642548455060169,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Maximum Depth of Binary Tree,49.3,0.7675475973088594,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Candy,49.3,0.4438421040357648,https://leetcode.com/problems/candy,"Array, Greedy"
HARD,Regular Expression Matching,47.7,0.2897186408628305,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,4Sum,47.7,0.37601615398210986,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Minimum Path Sum,47.7,0.6584778180276342,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Palindrome Partitioning,47.7,0.7138387050735545,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
MEDIUM,Remove Duplicates from Sorted Array II,47.7,0.6215196196085808,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
EASY,Symmetric Tree,46.0,0.586338342188093,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Single Number,46.0,0.7533125320290354,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
HARD,Minimum Window Substring,46.0,0.4466497179189848,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
EASY,Plus One,46.0,0.4704645158930268,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Remove Nth Node From End of List,46.0,0.48105414743517527,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Reverse Linked List II,44.0,0.4910139919983585,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Validate Binary Search Tree,44.0,0.339804124013698,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Reverse Nodes in k-Group,44.0,0.6204624534215137,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
EASY,Valid Palindrome,41.9,0.50154829986792,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Search a 2D Matrix,41.9,0.517771973601362,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
HARD,N-Queens,39.6,0.7166910476136805,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Divide Two Integers,36.9,0.18146011374454946,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
MEDIUM,Permutations,33.9,0.8013988654300767,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Search in Rotated Sorted Array II,33.9,0.3858970645425734,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search"
MEDIUM,String to Integer (atoi),33.9,0.18717126532626452,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Rotate List,33.9,0.39402541769303256,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,Count Good Numbers,33.9,0.4827251436695669,https://leetcode.com/problems/count-good-numbers,"Math, Recursion"
