Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507379391732659,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Trapping Rain Water,83.7,0.6428754576577578,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Substring Without Repeating Characters,81.5,0.3632668132496355,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Merge Sorted Array,81.4,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Longest Palindromic Substring,78.5,0.35298351728815647,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Parentheses,78.3,0.41845178338385963,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Add Two Numbers,77.4,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Container With Most Water,76.9,0.5717349963766004,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,3Sum,76.5,0.3642306306614018,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Median of Two Sorted Arrays,74.3,0.429393695737594,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Group Anagrams,74.1,0.7033699077307562,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Roman to Integer,73.6,0.6415381579437106,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Merge Intervals,72.4,0.48806483972644993,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Longest Common Prefix,71.4,0.4488789299096737,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Spiral Matrix,70.0,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Maximum Subarray,69.8,0.5173369031138303,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Climbing Stairs,69.4,0.5334305798456781,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Letter Combinations of a Phone Number,68.2,0.6308016559834609,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Jump Game,67.2,0.3911361530458638,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Reverse Integer,67.0,0.2986431235283417,https://leetcode.com/problems/reverse-integer,Math
EASY,Palindrome Number,66.8,0.5865359786032988,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Generate Parentheses,66.5,0.7652984707443845,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Merge Two Sorted Lists,64.8,0.6628950512738302,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Remove Duplicates from Sorted Array,64.6,0.5945074399206146,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Next Permutation,64.6,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Rotate Image,63.8,0.7717075756878434,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Largest Rectangle in Histogram,63.4,0.46599450145130683,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,Merge k Sorted Lists,63.4,0.5579527291964019,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Search in Rotated Sorted Array,62.0,0.42323959794375277,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Valid Sudoku,60.1,0.6165260121677019,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Set Matrix Zeroes,59.6,0.5893209483631097,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Find First and Last Position of Element in Sorted Array,59.0,0.46149691260376985,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,First Missing Positive,57.6,0.4063430225538805,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Remove Nth Node From End of List,57.3,0.48105414743517527,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,4Sum,57.3,0.37601615398210986,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Search a 2D Matrix,57.0,0.517771973601362,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
HARD,Reverse Nodes in k-Group,57.0,0.6204624534215137,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Subsets,56.7,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
HARD,Regular Expression Matching,55.7,0.2897186408628305,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Word Search,55.4,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,"Pow(x, n)",55.4,0.36477414313789447,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Jump Game II,54.7,0.411384657702939,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Sort Colors,54.7,0.6636207416579357,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,N-Queens,53.6,0.7166910476136805,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Unique Paths,53.2,0.6540336762085056,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
EASY,Remove Element,52.4,0.594380162102366,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Search Insert Position,52.0,0.4833836744628403,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
EASY,Find the Index of the First Occurrence in a String,51.6,0.4446359717405063,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Sqrt(x),51.6,0.40027057699287866,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Validate Binary Search Tree,51.2,0.339804124013698,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Combination Sum,51.2,0.7393127109003892,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,Minimum Window Substring,51.2,0.4466497179189848,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Zigzag Conversion,49.4,0.5079123792658975,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Permutations,48.4,0.8013988654300767,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Plus One,48.4,0.4704645158930268,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Combination Sum II,47.9,0.5721005932784472,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
MEDIUM,Swap Nodes in Pairs,47.4,0.6651424283411775,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Integer to Roman,47.4,0.6785814508062822,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
HARD,Longest Valid Parentheses,46.2,0.35694464228573786,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,3Sum Closest,45.7,0.46598247796697967,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
MEDIUM,Reverse Linked List II,45.7,0.4910139919983585,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Subsets II,45.1,0.5890592778362556,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
EASY,Add Binary,45.1,0.5519212953877572,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
MEDIUM,String to Integer (atoi),44.4,0.18717124658328768,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Divide Two Integers,44.4,0.18146011374454946,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
EASY,Same Tree,44.4,0.644381734421976,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Insert Interval,44.4,0.4294417075737422,https://leetcode.com/problems/insert-interval,Array
EASY,Length of Last Word,43.8,0.5544601556120669,https://leetcode.com/problems/length-of-last-word,String
HARD,Wildcard Matching,43.1,0.2936448764073223,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Decode Ways,43.1,0.3610500448626439,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
