Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507379391732659,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Trapping Rain Water,85.6,0.6428754576577578,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Substring Without Repeating Characters,82.3,0.3632668132496355,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Merge Sorted Array,81.9,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Longest Palindromic Substring,78.7,0.35298351728815647,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Parentheses,78.3,0.4184518257852688,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Add Two Numbers,78.2,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Group Anagrams,78.0,0.7033699077307562,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,3Sum,77.0,0.3642306306614018,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Container With Most Water,75.3,0.5717349963766004,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Median of Two Sorted Arrays,74.8,0.429393695737594,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Merge Intervals,73.9,0.48806483972644993,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Longest Common Prefix,72.3,0.4488789299096737,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Roman to Integer,72.1,0.6415381579437106,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Maximum Subarray,70.7,0.5173369031138303,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Climbing Stairs,70.1,0.5334305798456781,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Jump Game,70.0,0.39113609089083085,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Spiral Matrix,69.7,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Letter Combinations of a Phone Number,69.2,0.6308016559834609,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Generate Parentheses,68.2,0.7652984707443845,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Merge k Sorted Lists,68.0,0.5579527291964019,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Palindrome Number,67.7,0.5865359786032988,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Reverse Integer,66.1,0.2986431235283417,https://leetcode.com/problems/reverse-integer,Math
EASY,Merge Two Sorted Lists,65.5,0.6628950512738302,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Search in Rotated Sorted Array,65.4,0.42323959794375277,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Remove Duplicates from Sorted Array,64.9,0.5945074399206146,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Rotate Image,64.6,0.7717075756878434,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Next Permutation,64.1,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Largest Rectangle in Histogram,63.9,0.46599430727940705,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Valid Sudoku,60.6,0.6165261376179263,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Subsets,60.4,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Word Search,60.2,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Find First and Last Position of Element in Sorted Array,59.2,0.46149691260376985,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Set Matrix Zeroes,58.9,0.5893209483631097,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
HARD,First Missing Positive,58.7,0.4063430225538805,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Jump Game II,57.8,0.411384657702939,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,"Pow(x, n)",57.3,0.36477414313789447,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,4Sum,57.0,0.37601615398210986,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Remove Nth Node From End of List,56.8,0.48105414743517527,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
HARD,Reverse Nodes in k-Group,56.3,0.6204624534215137,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Search a 2D Matrix,56.0,0.517771973601362,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Sort Colors,56.0,0.6636207416579357,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,Regular Expression Matching,55.8,0.2897186408628305,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Unique Paths,55.2,0.6540336762085056,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Validate Binary Search Tree,54.1,0.33980408178482546,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Remove Element,54.1,0.594380162102366,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Find the Index of the First Occurrence in a String,53.5,0.4446359717405063,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Sqrt(x),53.2,0.40027057699287866,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
HARD,N-Queens,52.8,0.7166910476136805,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Combination Sum,52.8,0.7393127109003892,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,Minimum Window Substring,51.9,0.4466497179189848,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Zigzag Conversion,51.5,0.5079123792658975,https://leetcode.com/problems/zigzag-conversion,String
EASY,Search Insert Position,50.5,0.4833836744628403,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,Integer to Roman,50.1,0.6785814508062822,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Plus One,49.7,0.4704645158930268,https://leetcode.com/problems/plus-one,"Array, Math"
HARD,Longest Valid Parentheses,49.3,0.35694464228573786,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,String to Integer (atoi),48.1,0.18717124658328768,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Permutations,47.7,0.8013988654300767,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Reverse Linked List II,47.3,0.4910139919983585,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Combination Sum II,46.4,0.5721005932784472,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
MEDIUM,Swap Nodes in Pairs,46.4,0.6651424283411775,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Minimum Path Sum,44.9,0.6584778180276342,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Divide Two Integers,44.9,0.18146011374454946,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
EASY,Add Binary,44.9,0.5519212953877572,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
MEDIUM,3Sum Closest,43.9,0.46598247796697967,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
MEDIUM,Remove Duplicates from Sorted Array II,43.9,0.6215196196085808,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
EASY,Same Tree,43.9,0.644381734421976,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Insert Interval,43.9,0.4294417075737422,https://leetcode.com/problems/insert-interval,Array
MEDIUM,Decode Ways,43.4,0.3610500448626439,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Subsets II,43.4,0.5890592778362556,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
HARD,Wildcard Matching,42.8,0.2936448764073223,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Rotate List,42.2,0.39402541769303256,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
EASY,Length of Last Word,41.6,0.5544601556120669,https://leetcode.com/problems/length-of-last-word,String
EASY,Remove Duplicates from Sorted List,41.0,0.5435974753608667,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
EASY,Binary Tree Inorder Traversal,41.0,0.7800952223184408,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Simplify Path,41.0,0.4659588384849148,https://leetcode.com/problems/simplify-path,"String, Stack"
HARD,Sudoku Solver,41.0,0.6367237182219803,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,Search in Rotated Sorted Array II,40.4,0.3858970645425734,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search"
MEDIUM,Edit Distance,39.7,0.5818999026876489,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Count and Say,39.7,0.5789703915376176,https://leetcode.com/problems/count-and-say,String
MEDIUM,Multiply Strings,39.0,0.4183026038253261,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
HARD,Text Justification,37.5,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Unique Binary Search Trees II,36.7,0.5973929437759685,https://leetcode.com/problems/unique-binary-search-trees-ii,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Unique Paths II,34.1,0.42759287701267046,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
HARD,Permutation Sequence,34.1,0.49172109247041484,https://leetcode.com/problems/permutation-sequence,"Math, Recursion"
MEDIUM,Partition List,33.2,0.5832741355938129,https://leetcode.com/problems/partition-list,"Linked List, Two Pointers"
MEDIUM,Combinations,32.1,0.7228625269009074,https://leetcode.com/problems/combinations,Backtracking
HARD,Maximal Rectangle,32.1,0.5288771389006409,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
MEDIUM,Permutations II,29.9,0.6099583136361683,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting"
MEDIUM,Gray Code,28.7,0.6116792783416997,https://leetcode.com/problems/gray-code,"Math, Backtracking, Bit Manipulation"
MEDIUM,Recover Binary Search Tree,27.4,0.555123722617262,https://leetcode.com/problems/recover-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Spiral Matrix II,25.9,0.7294074516081444,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
MEDIUM,Interleaving String,25.9,0.4139538430868322,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
HARD,Substring with Concatenation of All Words,24.4,0.32792399020428403,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
MEDIUM,Unique Binary Search Trees,24.4,0.62136879296033,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Restore IP Addresses,22.7,0.5238319309402614,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Remove Duplicates from Sorted List II,22.7,0.4926366885680288,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
HARD,Valid Number,16.5,0.2110761208014496,https://leetcode.com/problems/valid-number,String
HARD,Scramble String,13.9,0.41672448567970954,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
HARD,N-Queens II,5.0,0.7601183618999824,https://leetcode.com/problems/n-queens-ii,Backtracking
