Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Deletions to Make Character Frequencies Unique,100.0,0.6132480799649549,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,"Hash Table, String, Greedy, Sorting"
MEDIUM,Ugly Number III,93.7,0.3022112417098956,https://leetcode.com/problems/ugly-number-iii,"Math, Binary Search, Combinatorics, Number Theory"
EASY,Percentage of Letter in String,93.7,0.7433050181038878,https://leetcode.com/problems/percentage-of-letter-in-string,String
MEDIUM,Minimum Number of Operations to Make Array XOR Equal to K,93.7,0.8577518660180474,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k,"Array, Bit Manipulation"
MEDIUM,Equal Sum Arrays With Minimum Number of Operations,93.7,0.5386695329425794,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,"Array, Hash Table, Greedy, Counting"
MEDIUM,Maximum XOR After Operations ,93.7,0.7931990494511713,https://leetcode.com/problems/maximum-xor-after-operations,"Array, Math, Bit Manipulation"
MEDIUM,Maximize the Topmost Element After K Moves,93.7,0.23275465954452773,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves,"Array, Greedy"
HARD,Find a Value of a Mysterious Function Closest to Target,93.7,0.457089552238806,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target,"Array, Binary Search, Bit Manipulation, Segment Tree"
HARD,Maximum Equal Frequency,93.7,0.3735245081693898,https://leetcode.com/problems/maximum-equal-frequency,"Array, Hash Table"
HARD,Divide an Array Into Subarrays With Minimum Cost II,93.7,0.309053345340891,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
EASY,Divide an Array Into Subarrays With Minimum Cost I,93.7,0.6636716247953882,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i,"Array, Sorting, Enumeration"
EASY,Two Sum,76.9,0.5507389059303948,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Add Digits,76.9,0.6763972156860478,https://leetcode.com/problems/add-digits,"Math, Simulation, Number Theory"
MEDIUM,Minimum Fuel Cost to Report to the Capital,64.6,0.6414282713715607,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital,"Tree, Depth-First Search, Breadth-First Search, Graph"
EASY,Valid Palindrome,64.6,0.5015504415570162,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
HARD,Trapping Rain Water,64.6,0.6428748683711646,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,3Sum,64.6,0.3642318112058821,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Valid Anagram,64.6,0.6615056919433511,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Rotate Array,64.6,0.42461387381314863,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Valid Parentheses,54.9,0.4184525366244635,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Reconstruct a 2-Row Binary Matrix,54.9,0.47402831000234613,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,"Array, Greedy, Matrix"
EASY,Longest Common Prefix,54.9,0.44887959734945254,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Longest Substring Without Repeating Characters,54.9,0.36326749051279555,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Contains Duplicate,54.9,0.6281696632016975,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
