Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Video Stitching,100.0,0.5177357456140351,https://leetcode.com/problems/video-stitching,"Array, Dynamic Programming, Greedy"
MEDIUM,Number of Islands,97.4,0.6158105111509724,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Group Anagrams,94.6,0.7033695975571023,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Heaters,94.6,0.3940185763508764,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
HARD,Maximum Number of Visible Points,94.6,0.3747418019527653,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
MEDIUM,Daily Temperatures,91.3,0.669688431874366,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
EASY,Shortest Word Distance,87.6,0.6577336656167434,https://leetcode.com/problems/shortest-word-distance,"Array, String"
MEDIUM,Course Schedule,83.2,0.4847691811850963,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Search Suggestions System,83.2,0.6504522992244536,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
HARD,Find Median from Data Stream,77.7,0.5297418173972335,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Course Schedule II,77.7,0.526302762568137,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Flip Equivalent Binary Trees,70.8,0.6976704265439585,https://leetcode.com/problems/flip-equivalent-binary-trees,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Snakes and Ladders,60.9,0.44013874698102035,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
MEDIUM,Spiral Matrix,60.9,0.5293297276822649,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Time Based Key-Value Store,60.9,0.49362132086900123,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Minesweeper,60.9,0.6774598193814402,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Insert into a Sorted Circular Linked List,60.9,0.3764670234618055,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,Linked List
MEDIUM,Find the Duplicate Number,60.9,0.6234280231745553,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Shortest Word Distance II,60.9,0.6185566620684442,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
EASY,Move Zeroes,60.9,0.6254453117893907,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Search in Rotated Sorted Array,60.9,0.42324064025162955,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Game of Life,60.9,0.7094403346794471,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
MEDIUM,Flatten Binary Tree to Linked List,60.9,0.6768331098654347,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Basic Calculator II,60.9,0.45257342334545037,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Basic Calculator,60.9,0.4485627521943508,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Merge Intervals,60.9,0.4880662106000825,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
