Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Word Break,100.0,0.478752015775188,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,LRU Cache,94.9,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Rotate Array,91.9,0.4246122914734268,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Top K Frequent Elements,88.5,0.6408012013631335,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Group Anagrams,84.6,0.7033700028669814,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,First Unique Character in a String,80.0,0.6322655217965654,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
EASY,Valid Palindrome,80.0,0.5015484257121487,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Design Circular Queue,80.0,0.5236253635437477,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Valid Sudoku,80.0,0.6165261376179263,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Subarray Sum Equals K,74.3,0.44931294221552387,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Two Sum,74.3,0.5507379927222766,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Kth Largest Element in an Array,74.3,0.6762042089095384,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Longest Substring Without Repeating Characters,74.3,0.3632668695666276,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Move Zeroes,67.0,0.6254444301162426,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
HARD,Find Median from Data Stream,67.0,0.5297427065626023,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Reverse Words in a String,67.0,0.5006637150812377,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Decode String,67.0,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Two Sum II - Input Array Is Sorted,67.0,0.6287749856161078,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
MEDIUM,Robot Bounded In Circle,67.0,0.5615320286935435,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
EASY,Merge Sorted Array,67.0,0.5225683816898407,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Kth Smallest Element in a Sorted Matrix,67.0,0.6323551489842215,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix"
MEDIUM,3Sum,67.0,0.3642304811341831,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Reverse String,67.0,0.7951856808592231,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
HARD,Word Ladder,67.0,0.41846750386296455,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Generate Parentheses,67.0,0.7652982888162224,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Valid Parentheses,67.0,0.41845175803888085,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Reverse Linked List,56.8,0.7865003484224354,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Course Schedule II,56.8,0.5263016660655798,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Text Justification,56.8,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Remove Nth Node From End of List,56.8,0.4810542231663091,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
EASY,Intersection of Two Linked Lists,56.8,0.6025967730144908,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
MEDIUM,Cheapest Flights Within K Stops,56.8,0.40061210982959206,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
HARD,Integer to English Words,56.8,0.3425969460179308,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,Implement Trie (Prefix Tree),56.8,0.674464083111349,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
EASY,Roman to Integer,56.8,0.6415381287729184,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
