Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507379893134878,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,79.8,0.3632668695666276,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Roman to Integer,78.9,0.6415381287729184,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Longest Common Prefix,77.0,0.4488791149040916,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,Median of Two Sorted Arrays,75.9,0.42939363827074994,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Merge Sorted Array,74.9,0.5225683816898407,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Valid Parentheses,74.9,0.41845175803888085,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Add Two Numbers,70.7,0.454396553222087,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,3Sum,70.7,0.3642304811341831,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Palindromic Substring,70.2,0.3529835796249885,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Palindrome Number,70.2,0.5865359513308419,https://leetcode.com/problems/palindrome-number,Math
HARD,Trapping Rain Water,70.2,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Reverse Integer,69.7,0.2986431235283417,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Group Anagrams,69.2,0.7033700028669814,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Merge Intervals,68.7,0.48806493100257387,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Spiral Matrix,65.9,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Remove Duplicates from Sorted Array,65.9,0.5945074842305015,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Climbing Stairs,65.3,0.5334307666822796,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Rotate Image,64.7,0.7717075756878434,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Search in Rotated Sorted Array,64.0,0.4232398141864659,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Valid Sudoku,63.3,0.6165261376179263,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Container With Most Water,61.9,0.5717349748819156,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Maximum Subarray,61.2,0.5173370089406012,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Merge Two Sorted Lists,60.4,0.662895097396795,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Generate Parentheses,59.6,0.7652982888162224,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Letter Combinations of a Phone Number,59.6,0.6308016839281684,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Search Insert Position,59.6,0.4833838129454941,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
EASY,Remove Element,56.9,0.594380162102366,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Sqrt(x),56.9,0.40027070819167254,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
HARD,Merge k Sorted Lists,55.9,0.5579528330363718,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,Largest Rectangle in Histogram,55.9,0.46599452979030864,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
EASY,Add Binary,54.9,0.5519212953877572,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
EASY,Find the Index of the First Occurrence in a String,52.6,0.44463584552574936,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Next Permutation,52.6,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Sort Colors,52.6,0.6636207416579357,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,4Sum,51.4,0.37601615398210986,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Jump Game,51.4,0.391136318997425,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,"Pow(x, n)",51.4,0.3647741902866651,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Remove Nth Node From End of List,51.4,0.4810542231663091,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Combination Sum,48.7,0.7393128715843367,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Permutations,48.7,0.8013989296294045,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Insert Interval,47.1,0.42944188605855393,https://leetcode.com/problems/insert-interval,Array
EASY,Plus One,47.1,0.4704642071937533,https://leetcode.com/problems/plus-one,"Array, Math"
HARD,First Missing Positive,47.1,0.4063430766564612,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Validate Binary Search Tree,47.1,0.3398040793723859,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Find First and Last Position of Element in Sorted Array,47.1,0.4614968420851848,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Set Matrix Zeroes,47.1,0.5893209483631097,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
EASY,Symmetric Tree,47.1,0.5863384455471767,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Regular Expression Matching,45.5,0.2897188257598535,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
