Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Cycle Length Queries in a Tree,100.0,0.5767759357887631,https://leetcode.com/problems/cycle-length-queries-in-a-tree,"Array, Tree, Binary Tree"
MEDIUM,Maximum Length of Subarray With Positive Product,100.0,0.44348174575171084,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product,"Array, Dynamic Programming, Greedy"
MEDIUM,Maximize the Confusion of an Exam,97.6,0.6815040685030295,https://leetcode.com/problems/maximize-the-confusion-of-an-exam,"String, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Count Collisions on a Road,97.6,0.4409430629161571,https://leetcode.com/problems/count-collisions-on-a-road,"String, Stack, Simulation"
MEDIUM,Number of People Aware of a Secret,97.6,0.4605567262592618,https://leetcode.com/problems/number-of-people-aware-of-a-secret,"Dynamic Programming, Queue, Simulation"
HARD,Partition Array Into Two Arrays to Minimize Sum Difference,80.5,0.21317517450752654,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
MEDIUM,House Robber,80.5,0.5198830841160268,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Possible Bipartition,75.0,0.5118992554904246,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Stone Game VI,75.0,0.5843753101121365,https://leetcode.com/problems/stone-game-vi,"Array, Math, Greedy, Sorting, Heap (Priority Queue), Game Theory"
MEDIUM,Search in Rotated Sorted Array,75.0,0.4232404156277306,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Longest Substring Without Repeating Characters,67.9,0.36326979143767507,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Find the Count of Monotonic Pairs I,67.9,0.4615300126311165,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-i,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum"
MEDIUM,Next Permutation,67.9,0.423242108960704,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Binary Tree Maximum Path Sum,67.9,0.4090499140770364,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Minimum Insertion Steps to Make a String Palindrome,57.9,0.719844153799735,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome,"String, Dynamic Programming"
HARD,Best Time to Buy and Sell Stock IV,57.9,0.4603627030886603,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
MEDIUM,Diagonal Traverse,57.9,0.6246070802735213,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
MEDIUM,Edit Distance,57.9,0.5819024030167141,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Maximum Product Subarray,57.9,0.34529506630604606,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Surrounded Regions,57.9,0.4203135227309167,https://leetcode.com/problems/surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Sort Colors,57.9,0.663621783662501,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Koko Eating Bananas,57.9,0.4882426712650886,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
