Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Restore IP Addresses,100.0,0.5238319309402614,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
EASY,Find the Town Judge,97.6,0.4988816172260116,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph"
MEDIUM,Construct String With Repeat Limit,97.6,0.7094882792543395,https://leetcode.com/problems/construct-string-with-repeat-limit,"Hash Table, String, Greedy, Heap (Priority Queue), Counting"
HARD,Reverse Nodes in k-Group,95.0,0.620463138604683,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Reverse Linked List II,95.0,0.49101428362723093,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Inorder Successor in BST II,85.0,0.6091782507395481,https://leetcode.com/problems/inorder-successor-in-bst-ii,"Tree, Binary Search Tree, Binary Tree"
MEDIUM,Reorder List,85.0,0.6158645841674457,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
EASY,Contains Duplicate II,80.5,0.48128095385437347,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
MEDIUM,Rotated Digits,75.0,0.5643007319732128,https://leetcode.com/problems/rotated-digits,"Math, Dynamic Programming"
MEDIUM,Inorder Successor in BST,75.0,0.504877968048194,https://leetcode.com/problems/inorder-successor-in-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Missing Number,75.0,0.6934727448484219,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
EASY,Remove Linked List Elements,67.9,0.5113711442133329,https://leetcode.com/problems/remove-linked-list-elements,"Linked List, Recursion"
MEDIUM,LRU Cache,67.9,0.44431141634525256,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Merge Two Sorted Lists,67.9,0.6628955616189995,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Moving Average from Data Stream,67.9,0.7958760290957754,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
MEDIUM,Missing Element in Sorted Array,67.9,0.5823447434556187,https://leetcode.com/problems/missing-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Merge In Between Linked Lists,67.9,0.8218413751798487,https://leetcode.com/problems/merge-in-between-linked-lists,Linked List
EASY,Maximum Units on a Truck,67.9,0.7403931797239077,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
MEDIUM,Find the Winner of the Circular Game,58.0,0.8198418795622783,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
MEDIUM,Search in Rotated Sorted Array,58.0,0.423240596684246,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Maximum Depth of Binary Tree,58.0,0.7675480918408446,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Contains Duplicate,58.0,0.6281695673590335,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Course Schedule II,58.0,0.5263027410822521,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Validate Binary Search Tree,58.0,0.3398044702977858,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Palindromic Substrings,58.0,0.7126867066788907,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Find Minimum in Rotated Sorted Array,58.0,0.5215059603380453,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
EASY,Kth Largest Element in a Stream,58.0,0.5968282096071874,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
MEDIUM,Implement Trie (Prefix Tree),58.0,0.6744651193259369,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
EASY,Best Time to Buy and Sell Stock,58.0,0.547698387236851,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Binary Tree Maximum Path Sum,58.0,0.4090457112384286,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Flatten a Multilevel Doubly Linked List,58.0,0.6095977855135679,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
MEDIUM,Reverse Words in a String,58.0,0.5006664756087896,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Remove All Occurrences of a Substring,58.0,0.7798041529652094,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
