Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Rank Teams by Votes,100.0,0.5895344320514955,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
MEDIUM,Stock Price Fluctuation ,81.8,0.4870816430020284,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
EASY,Find the Width of Columns of a Grid,77.0,0.6875768757687577,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
MEDIUM,Design Snake Game,75.0,0.39006983608509627,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
HARD,All O`one Data Structure,64.2,0.4483494417749956,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,The Time When the Network Becomes Idle,64.2,0.5299695831096797,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,"Array, Breadth-First Search, Graph"
HARD,Russian Doll Envelopes,60.2,0.3719137919994145,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting"
EASY,Logger Rate Limiter,54.9,0.7635636890458137,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,High-Access Employees,47.5,0.45392689487842186,https://leetcode.com/problems/high-access-employees,"Array, Hash Table, String, Sorting"
MEDIUM,Nth Highest Salary,47.5,0.3791099023163122,https://leetcode.com/problems/nth-highest-salary,Database
HARD,Text Justification,47.5,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
