Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Rank Teams by Votes,100.0,0.5895344320514955,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
MEDIUM,Design Snake Game,92.1,0.39006983608509627,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
EASY,Logger Rate Limiter,80.2,0.7635636890458137,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
HARD,All O`one Data Structure,72.8,0.4483494417749956,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Design File System,72.8,0.6379296261673761,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
EASY,Maximum Area of Longest Diagonal Rectangle,70.9,0.36658543876654376,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array
MEDIUM,Maximum Square Area by Removing Fences From a Field,70.9,0.23986691784151679,https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field,"Array, Hash Table, Enumeration"
HARD,Cherry Pickup,70.9,0.3756434374547785,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
MEDIUM,Stock Price Fluctuation ,70.9,0.4870816430020284,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
MEDIUM,Longest String Chain,68.8,0.6169817180366625,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,Group Anagrams,66.4,0.7033700179127025,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Merge Intervals,63.7,0.48806510187579843,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Increasing Subsequence,60.7,0.5717086219308659,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Online Election,60.7,0.5245582048792808,https://leetcode.com/problems/online-election,"Array, Hash Table, Binary Search, Design"
MEDIUM,Majority Element II,60.7,0.536895198618059,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting"
HARD,String Transformation,57.0,0.30690389819773134,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
MEDIUM,Design Tic-Tac-Toe,52.6,0.5843357470704268,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
EASY,Best Time to Buy and Sell Stock,52.6,0.5476981419622043,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,High-Access Employees,52.6,0.45392689487842186,https://leetcode.com/problems/high-access-employees,"Array, Hash Table, String, Sorting"
MEDIUM,Maximum Number of Occurrences of a Substring,46.9,0.5295137784000509,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
EASY,Crawler Log Folder,46.9,0.7163810740303742,https://leetcode.com/problems/crawler-log-folder,"Array, String, Stack"
MEDIUM,Koko Eating Bananas,46.9,0.4882386058875497,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Minimum Time to Visit a Cell In a Grid,46.9,0.5716765697994439,https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid,"Array, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path"
HARD,Count Vowels Permutation,46.9,0.6155926759432417,https://leetcode.com/problems/count-vowels-permutation,Dynamic Programming
MEDIUM,Boats to Save People,46.9,0.5994226335486483,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Longest Consecutive Sequence,46.9,0.4719070232242713,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Two Sum,46.9,0.5507380589147121,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Unique Paths II,46.9,0.42759293119426867,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Integer to Roman,46.9,0.6785810066657022,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Maximum Good Subarray Sum,38.9,0.2002907186855018,https://leetcode.com/problems/maximum-good-subarray-sum,"Array, Hash Table, Prefix Sum"
MEDIUM,Single Element in a Sorted Array,38.9,0.591564743141575,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,Container With Most Water,38.9,0.571734760256887,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Minimum Cost to Convert String I,38.9,0.5796077268584104,https://leetcode.com/problems/minimum-cost-to-convert-string-i,"Array, String, Graph, Shortest Path"
MEDIUM,Smallest Missing Non-negative Integer After Operations,38.9,0.39556054101861643,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,"Array, Hash Table, Math, Greedy"
HARD,Minimum Cost to Convert String II,38.9,0.2579594458207175,https://leetcode.com/problems/minimum-cost-to-convert-string-ii,"Array, String, Dynamic Programming, Graph, Trie, Shortest Path"
MEDIUM,Longest Substring Without Repeating Characters,38.9,0.3632672492870325,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,38.9,0.604568349390175,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union Find, Sorting"
HARD,Verbal Arithmetic Puzzle,38.9,0.34689080897166136,https://leetcode.com/problems/verbal-arithmetic-puzzle,"Array, Math, String, Backtracking"
HARD,Tallest Billboard,38.9,0.5200513103039971,https://leetcode.com/problems/tallest-billboard,"Array, Dynamic Programming"
EASY,Valid Anagram,38.9,0.6615044907329655,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Search Suggestions System,38.9,0.6504550374996033,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
HARD,Number of Possible Sets of Closing Branches,38.9,0.5095238095238095,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,"Bit Manipulation, Graph, Heap (Priority Queue), Enumeration, Shortest Path"
EASY,Assign Cookies,38.9,0.5347470249599291,https://leetcode.com/problems/assign-cookies,"Array, Two Pointers, Greedy, Sorting"
HARD,Basic Calculator,38.9,0.44856266989646615,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Meeting Rooms II,38.9,0.5191552987461305,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,3Sum,38.9,0.36423058446152623,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Trapping Rain Water,38.9,0.6428747125433004,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Text Justification,38.9,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Subsets,38.9,0.8025897007187731,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
EASY,Merge Sorted Array,38.9,0.5225684593205161,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Last Stone Weight,38.9,0.6579792548570367,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
HARD,Maximum Path Quality of a Graph,38.9,0.5938227205415697,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph"
MEDIUM,Basic Calculator II,38.9,0.4525726821511124,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Number of Digit One,38.9,0.35551648437044664,https://leetcode.com/problems/number-of-digit-one,"Math, Dynamic Programming, Recursion"
MEDIUM,Coin Change,38.9,0.4581322512204496,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Add Two Integers,38.9,0.8811608025714186,https://leetcode.com/problems/add-two-integers,Math
MEDIUM,Find K Pairs with Smallest Sums,38.9,0.40430305334184125,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,"Array, Heap (Priority Queue)"
HARD,Split Array Largest Sum,38.9,0.5740391597510374,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
EASY,Kth Largest Element in a Stream,38.9,0.5968290622618468,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
EASY,Lemonade Change,38.9,0.5829589828193545,https://leetcode.com/problems/lemonade-change,"Array, Greedy"
MEDIUM,Design Hit Counter,38.9,0.6901445319548539,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
