Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Rank Teams by Votes,100.0,0.5895344320514955,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
MEDIUM,Design Snake Game,87.1,0.39006983608509627,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
MEDIUM,Stock Price Fluctuation ,76.1,0.4870816430020284,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
EASY,Logger Rate Limiter,72.3,0.7635636890458137,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
HARD,All O`one Data Structure,69.5,0.4483494417749956,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,High-Access Employees,68.5,0.45392689487842186,https://leetcode.com/problems/high-access-employees,"Array, Hash Table, String, Sorting"
HARD,Minimum Time to Visit a Cell In a Grid,60.7,0.5716765697994439,https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid,"Array, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path"
MEDIUM,Design File System,60.7,0.6379296261673761,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
HARD,Minimum Cost to Convert String II,59.0,0.2579594458207175,https://leetcode.com/problems/minimum-cost-to-convert-string-ii,"Array, String, Dynamic Programming, Graph, Trie, Shortest Path"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,59.0,0.604568349390175,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union Find, Sorting"
MEDIUM,Minimum Cost to Convert String I,59.0,0.5796077268584104,https://leetcode.com/problems/minimum-cost-to-convert-string-i,"Array, String, Graph, Shortest Path"
EASY,Find the Width of Columns of a Grid,59.0,0.6875768757687577,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
MEDIUM,Maximum Good Subarray Sum,59.0,0.2002907186855018,https://leetcode.com/problems/maximum-good-subarray-sum,"Array, Hash Table, Prefix Sum"
EASY,Maximum Area of Longest Diagonal Rectangle,59.0,0.36658543876654376,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array
HARD,Cherry Pickup,59.0,0.3756434374547785,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
MEDIUM,Smallest Missing Non-negative Integer After Operations,59.0,0.39556054101861643,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,"Array, Hash Table, Math, Greedy"
MEDIUM,Maximum Square Area by Removing Fences From a Field,59.0,0.23986691784151679,https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field,"Array, Hash Table, Enumeration"
HARD,Number of Possible Sets of Closing Branches,59.0,0.5095238095238095,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,"Bit Manipulation, Graph, Heap (Priority Queue), Enumeration, Shortest Path"
HARD,Verbal Arithmetic Puzzle,59.0,0.34689080897166136,https://leetcode.com/problems/verbal-arithmetic-puzzle,"Array, Math, String, Backtracking"
MEDIUM,Longest String Chain,57.2,0.6169817180366625,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,Group Anagrams,57.2,0.7033700179127025,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Merge Intervals,57.2,0.48806510187579843,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Increasing Subsequence,55.1,0.5717086219308659,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Majority Element II,52.7,0.536895198618059,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting"
MEDIUM,Online Election,49.9,0.5245582048792808,https://leetcode.com/problems/online-election,"Array, Hash Table, Binary Search, Design"
HARD,Text Justification,49.9,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,String Transformation,46.7,0.30690389819773134,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
EASY,Best Time to Buy and Sell Stock,46.7,0.5476981832677255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,The Time When the Network Becomes Idle,46.7,0.5299695831096797,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,"Array, Breadth-First Search, Graph"
MEDIUM,Koko Eating Bananas,42.7,0.4882386058875497,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Design Tic-Tac-Toe,42.7,0.5843357470704268,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
HARD,Russian Doll Envelopes,42.7,0.3719137919994145,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Boats to Save People,37.6,0.5994226335486483,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Jump Game II,37.6,0.41138482345553784,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Word Search,37.6,0.4462620297045804,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Crawler Log Folder,37.6,0.7163810740303742,https://leetcode.com/problems/crawler-log-folder,"Array, String, Stack"
MEDIUM,Longest Consecutive Sequence,37.6,0.4719070232242713,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Pairs of Songs With Total Durations Divisible by 60,37.6,0.5315074798619103,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
MEDIUM,Design Hit Counter,37.6,0.6901445319548539,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
EASY,Two Sum,37.6,0.5507380404143026,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Merge Sorted Array,37.6,0.5225684593205161,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Maximum Number of Occurrences of a Substring,37.6,0.5295137784000509,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
MEDIUM,Longest Substring Without Repeating Characters,37.6,0.3632672492870325,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Count Vowels Permutation,37.6,0.6155926759432417,https://leetcode.com/problems/count-vowels-permutation,Dynamic Programming
MEDIUM,Integer to Roman,37.6,0.6785810066657022,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Unique Paths II,37.6,0.42759293119426867,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Top K Frequent Elements,30.6,0.6408022103663131,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Find K Closest Elements,30.6,0.4834732150587973,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Subsets,30.6,0.8025897007187731,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Maximum Subarray,30.6,0.5173371676806704,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Split Array Largest Sum,30.6,0.5740391597510374,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
HARD,Trapping Rain Water,30.6,0.6428747125433004,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Can Place Flowers,30.6,0.2882157702748558,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
EASY,Valid Anagram,30.6,0.6615044907329655,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Nth Highest Salary,30.6,0.3791099023163122,https://leetcode.com/problems/nth-highest-salary,Database
MEDIUM,Container With Most Water,30.6,0.571734760256887,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,3Sum,30.6,0.36423058446152623,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Last Stone Weight,30.6,0.6579792548570367,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
MEDIUM,Single Element in a Sorted Array,30.6,0.591564743141575,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
EASY,Assign Cookies,30.6,0.5347470249599291,https://leetcode.com/problems/assign-cookies,"Array, Two Pointers, Greedy, Sorting"
HARD,Maximum Path Quality of a Graph,30.6,0.5938227205415697,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph"
MEDIUM,Search Suggestions System,30.6,0.6504550374996033,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
HARD,Basic Calculator,30.6,0.44856266989646615,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Basic Calculator II,30.6,0.4525726821511124,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Tallest Billboard,30.6,0.5200513103039971,https://leetcode.com/problems/tallest-billboard,"Array, Dynamic Programming"
HARD,Number of Digit One,30.6,0.35551648437044664,https://leetcode.com/problems/number-of-digit-one,"Math, Dynamic Programming, Recursion"
MEDIUM,Meeting Rooms II,30.6,0.5191552987461305,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Lemonade Change,30.6,0.5829589828193545,https://leetcode.com/problems/lemonade-change,"Array, Greedy"
EASY,Kth Largest Element in a Stream,30.6,0.5968290622618468,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
MEDIUM,Coin Change,30.6,0.4581322512204496,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Add Two Integers,30.6,0.8811608025714186,https://leetcode.com/problems/add-two-integers,Math
MEDIUM,Find K Pairs with Smallest Sums,30.6,0.40430305334184125,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,"Array, Heap (Priority Queue)"
