Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Count Visited Nodes in a Directed Graph,100.0,0.32818898515196254,https://leetcode.com/problems/count-visited-nodes-in-a-directed-graph,"Dynamic Programming, Graph, Memoization"
MEDIUM,Sum of Distances,97.7,0.3134692099279772,https://leetcode.com/problems/sum-of-distances,"Array, Hash Table, Prefix Sum"
MEDIUM,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,97.7,0.41210099244891524,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"Array, Greedy, Sorting"
MEDIUM,Minimize Length of Array Using Operations,97.7,0.3476772057984248,https://leetcode.com/problems/minimize-length-of-array-using-operations,"Array, Math, Greedy, Number Theory"
HARD,Minimum Number of Taps to Open to Water a Garden,75.4,0.5070611850526068,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Group Anagrams,75.4,0.7033739015376013,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Gas Station,68.4,0.45978019884566784,https://leetcode.com/problems/gas-station,"Array, Greedy"
EASY,Two Sum,68.4,0.5507397838666975,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Minimum Number of Groups to Create a Valid Assignment,68.4,0.2457009093364545,https://leetcode.com/problems/minimum-number-of-groups-to-create-a-valid-assignment,"Array, Hash Table, Greedy"
EASY,Best Time to Buy and Sell Stock,58.6,0.547700134732368,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Palindromic Substrings,58.6,0.7126895164456343,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,58.6,0.3632693789510931,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Reverse Words in a String III,58.6,0.8353008255707638,https://leetcode.com/problems/reverse-words-in-a-string-iii,"Two Pointers, String"
EASY,Move Zeroes,58.6,0.6254475626554822,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Remove Duplicate Letters,58.6,0.5084049837644269,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
EASY,Convert Binary Number in a Linked List to Integer,58.6,0.8121770687472867,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math"
EASY,Roman to Integer,58.6,0.6415429085954549,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Count Vowel Substrings of a String,58.6,0.6991257762733548,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
HARD,Find the Count of Monotonic Pairs II,58.6,0.23176610311583065,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum"
MEDIUM,3Sum,58.6,0.36423332835514416,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Total Cost to Hire K Workers,58.6,0.428868448628599,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
MEDIUM,Car Fleet,58.6,0.5294806567649989,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
