Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Arithmetic Slices II - Subsequence,100.0,0.5463153704880485,https://leetcode.com/problems/arithmetic-slices-ii-subsequence,"Array, Dynamic Programming"
HARD,Binary Tree Maximum Path Sum,97.8,0.4090500509328575,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Substring with At Least K Repeating Characters,97.8,0.4534557250870906,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters,"Hash Table, String, Divide and Conquer, Sliding Window"
MEDIUM,Integer Replacement,97.8,0.36337003980993965,https://leetcode.com/problems/integer-replacement,"Dynamic Programming, Greedy, Bit Manipulation, Memoization"
HARD,Split Array Largest Sum,97.8,0.5740347674326636,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Arithmetic Slices,97.8,0.648553208860283,https://leetcode.com/problems/arithmetic-slices,"Array, Dynamic Programming, Sliding Window"
HARD,Zuma Game,97.8,0.3193613270095106,https://leetcode.com/problems/zuma-game,"String, Dynamic Programming, Stack, Breadth-First Search, Memoization"
MEDIUM,Out of Boundary Paths,97.8,0.48154822273067216,https://leetcode.com/problems/out-of-boundary-paths,Dynamic Programming
HARD,Design In-Memory File System,97.8,0.48030088016471306,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,Length of Longest Fibonacci Subsequence,97.8,0.5768235801992282,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence,"Array, Hash Table, Dynamic Programming"
