Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.41845251800627814,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Happy Number,93.8,0.5756158946149205,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Evaluate Division,89.7,0.6274988419899422,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
MEDIUM,Pairs of Songs With Total Durations Divisible by 60,71.7,0.531509138677034,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
EASY,Best Time to Buy and Sell Stock,60.9,0.547698491474746,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Path with Maximum Probability,56.8,0.6529549794509993,https://leetcode.com/problems/path-with-maximum-probability,"Array, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Group Anagrams,51.5,0.7033700949143078,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Maximize Greatness of an Array,44.1,0.5873995176848874,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
EASY,Valid Anagram,44.1,0.6615058440932664,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Boundary of Binary Tree,44.1,0.4678728244517557,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Coin Change,44.1,0.4581324779799484,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Generate Parentheses,44.1,0.7652988486711837,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
