Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.550737932355694,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Insert Delete GetRandom O(1),99.6,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Merge Intervals,93.0,0.4880648475123527,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Invalid Transactions,90.3,0.3123137282499692,https://leetcode.com/problems/invalid-transactions,"Array, Hash Table, String, Sorting"
MEDIUM,Add Two Numbers,88.4,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Flatten a Multilevel Doubly Linked List,87.2,0.6095964755994652,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
EASY,Valid Parentheses,83.6,0.418451734255748,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,LRU Cache,81.1,0.4443099993738651,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Merge Sorted Array,81.1,0.5225683816898407,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,80.2,0.36326687418995746,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Anagram,80.2,0.6615041387591161,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Longest Consecutive Sequence,78.3,0.4719066516236731,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Best Time to Buy and Sell Stock,78.3,0.5476981267922705,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Word Search,78.3,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Decode String,76.3,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Design Underground System,75.2,0.7483466918599335,https://leetcode.com/problems/design-underground-system,"Hash Table, String, Design"
HARD,Trapping Rain Water,74.0,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,First Unique Character in a String,74.0,0.6322655217965654,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
EASY,Palindrome Number,72.8,0.586536066071973,https://leetcode.com/problems/palindrome-number,Math
EASY,Create Hello World Function,72.8,0.8182503818859103,https://leetcode.com/problems/create-hello-world-function,
HARD,Median of Two Sorted Arrays,71.5,0.42939363827074994,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Longest Common Prefix,70.1,0.4488790460569089,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,3Sum,68.7,0.36423060075594826,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Container With Most Water,68.7,0.5717349107192083,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Meeting Rooms II,68.7,0.519155338047899,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Search in Rotated Sorted Array,67.1,0.4232397421055795,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Subsets,67.1,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Find Peak Element,65.4,0.4633552313520142,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Merge Two Sorted Lists,65.4,0.6628951851492473,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Reverse Integer,65.4,0.2986431235283417,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Subarray Sum Equals K,65.4,0.44931294221552387,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Reverse Linked List,61.7,0.7865003484224354,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
