Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.550737932355694,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,86.4,0.4880648475123527,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Add Two Numbers,85.7,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,84.8,0.36326687418995746,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,83.8,0.4184517037459166,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Merge Sorted Array,81.5,0.5225683816898407,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,3Sum,79.9,0.36423054094505586,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Palindromic Substring,78.4,0.35298351728815647,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Trapping Rain Water,78.1,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Median of Two Sorted Arrays,76.4,0.42939363827074994,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Palindrome Number,75.5,0.586536066071973,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Maximum Subarray,75.5,0.5173369560272215,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Remove Duplicates from Sorted Array,74.9,0.5945074427312362,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Word Search,74.6,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Roman to Integer,74.3,0.6415381287729184,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Container With Most Water,74.0,0.5717349748819156,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Longest Common Prefix,73.6,0.4488789987569076,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Reverse Integer,73.3,0.2986431235283417,https://leetcode.com/problems/reverse-integer,Math
EASY,Merge Two Sorted Lists,70.8,0.6628951851492473,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Search in Rotated Sorted Array,70.4,0.4232397421055795,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Validate Binary Search Tree,69.2,0.3398040793723859,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Subsets,68.3,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Group Anagrams,66.9,0.7033700829574029,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,"Pow(x, n)",66.5,0.3647741902866651,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Generate Parentheses,65.0,0.7652982888162224,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Next Permutation,64.4,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Remove Element,63.9,0.594380162102366,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Climbing Stairs,63.9,0.5334306421245619,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Rotate Image,63.4,0.7717075756878434,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Sqrt(x),60.3,0.4002706097370584,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
HARD,Merge k Sorted Lists,60.3,0.5579528330363718,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Find the Index of the First Occurrence in a String,60.3,0.44463590863311886,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Binary Tree Level Order Traversal,59.7,0.6982012546707773,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Find First and Last Position of Element in Sorted Array,59.0,0.4614967433195087,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Unique Paths,58.3,0.6540334827489717,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Jump Game,58.3,0.39113622224358663,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Swap Nodes in Pairs,58.3,0.6651424283411775,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Set Matrix Zeroes,55.9,0.5893209483631097,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Spiral Matrix,55.9,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,String to Integer (atoi),55.9,0.18717137188755856,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Letter Combinations of a Phone Number,55.1,0.6308016839281684,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Jump Game II,55.1,0.41138459817569833,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Sort Colors,54.2,0.6636207416579357,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
