Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4443104468827379,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Regular Expression Matching,76.1,0.28971915419563643,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Add Two Numbers,76.1,0.4543969521181898,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Combination Sum II,66.2,0.5721014641402181,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
MEDIUM,Maximal Square,66.2,0.4822795859526049,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Minimum Area Rectangle,66.2,0.548067403471198,https://leetcode.com/problems/minimum-area-rectangle,"Array, Hash Table, Math, Geometry, Sorting"
MEDIUM,Number of Good Leaf Nodes Pairs,66.2,0.7185516007418584,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Rotting Oranges,66.2,0.5596872264564808,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Insert Delete GetRandom O(1),66.2,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Longest Common Subsequence,66.2,0.5799219710258758,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
EASY,Best Time to Buy and Sell Stock,66.2,0.5476981571321189,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
