Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4443104468827379,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,90.7,0.3632672026351713,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Number of Islands,90.7,0.6158093545705631,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Delete Operation for Two Strings,86.7,0.6327646419565516,https://leetcode.com/problems/delete-operation-for-two-strings,"String, Dynamic Programming"
MEDIUM,Combination Sum,76.1,0.7393129651009054,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,Trapping Rain Water,76.1,0.6428746605407334,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,House Robber,76.1,0.5198830342580593,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Course Schedule,76.1,0.4847677696142185,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,House Robber II,76.1,0.4312089991251616,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
MEDIUM,Kth Largest Element in an Array,76.1,0.6762040207481954,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Basic Calculator II,68.6,0.4525726821511124,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
EASY,Reverse Linked List,68.6,0.7865002797100553,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Two Sum,68.6,0.550738144103272,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Consecutive Sequence,68.6,0.4719069515952974,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
