Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Text Justification,100.0,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Split Message Based on Limit,92.4,0.431437590284094,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
MEDIUM,Rotate Image,89.3,0.7717077385834604,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Candy Crush,81.3,0.7715995982857541,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
HARD,Number of Flowers in Full Bloom,81.3,0.5705492453710908,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
MEDIUM,Simple Bank System,76.0,0.6338894946748921,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Word Search,76.0,0.4462620297045804,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Coin Change,69.2,0.4581320080216962,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Count Alternating Subarrays,69.2,0.5724029458025254,https://leetcode.com/problems/count-alternating-subarrays,"Array, Math"
HARD,Remove Boxes,69.2,0.48160728616487186,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
HARD,Word Search II,69.2,0.3701571260624688,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Find the Length of the Longest Common Prefix,69.2,0.5629064846365207,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
EASY,Roman to Integer,59.6,0.6415382506431335,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Four Divisors,59.6,0.44347162495230436,https://leetcode.com/problems/four-divisors,"Array, Math"
EASY,Binary Tree Paths,59.6,0.6580787168165015,https://leetcode.com/problems/binary-tree-paths,"String, Backtracking, Tree, Depth-First Search, Binary Tree"
MEDIUM,Add Two Numbers,59.6,0.45439676399044077,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Simplify Path,59.6,0.4659590867505188,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Get Biggest Three Rhombus Sums in a Grid,59.6,0.4898109100802612,https://leetcode.com/problems/get-biggest-three-rhombus-sums-in-a-grid,"Array, Math, Sorting, Heap (Priority Queue), Matrix, Prefix Sum"
MEDIUM,Rotate Array,59.6,0.42461244076968824,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,K-diff Pairs in an Array,59.6,0.44256804494639196,https://leetcode.com/problems/k-diff-pairs-in-an-array,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
HARD,Reverse Nodes in k-Group,59.6,0.6204624534215137,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
EASY,Valid Parentheses,59.6,0.4184517192405665,https://leetcode.com/problems/valid-parentheses,"String, Stack"
