Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Predict the Winner,100.0,0.5553136690429309,https://leetcode.com/problems/predict-the-winner,"Array, Math, Dynamic Programming, Recursion, Game Theory"
MEDIUM,Longest Palindromic Substring,90.3,0.3529833925453122,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,House Robber,88.8,0.5198830342580593,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Spiral Matrix,75.3,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Rotate Image,73.1,0.7717077385834604,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Stone Game,69.2,0.7141807114166219,https://leetcode.com/problems/stone-game,"Array, Math, Dynamic Programming, Game Theory"
EASY,Lucky Numbers in a Matrix,69.2,0.7989664979051845,https://leetcode.com/problems/lucky-numbers-in-a-matrix,"Array, Matrix"
MEDIUM,Snakes and Ladders,66.0,0.4401399439999851,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
MEDIUM,Merge Intervals,64.2,0.4880653523460517,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,LRU Cache,62.2,0.4443103226198868,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Happy Number,60.0,0.5756144102264618,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Two Sum,57.5,0.5507381324204547,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Cherry Pickup,57.5,0.3756434374547785,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
EASY,Fizz Buzz,57.5,0.7390294851065652,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
HARD,Word Search II,57.5,0.37015774080691183,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
EASY,Maximum Difference Between Increasing Elements,57.5,0.586268788254956,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Array
EASY,Valid Parentheses,54.6,0.4184517585182271,https://leetcode.com/problems/valid-parentheses,"String, Stack"
