Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Predict the Winner,100.0,0.5553136690429309,https://leetcode.com/problems/predict-the-winner,"Array, Math, Dynamic Programming, Recursion, Game Theory"
MEDIUM,Longest Palindromic Substring,98.8,0.3529833925453122,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,House Robber,97.5,0.5198830342580593,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Spiral Matrix,83.7,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Rotate Image,83.7,0.7717077385834604,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Lucky Numbers in a Matrix,81.6,0.7989664979051845,https://leetcode.com/problems/lucky-numbers-in-a-matrix,"Array, Matrix"
MEDIUM,Maximum Subarray,68.1,0.5173371638793948,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Stone Game,68.1,0.7141807114166219,https://leetcode.com/problems/stone-game,"Array, Math, Dynamic Programming, Game Theory"
EASY,Number of Valid Words in a Sentence,68.1,0.29796190379781007,https://leetcode.com/problems/number-of-valid-words-in-a-sentence,String
EASY,Fizz Buzz,68.1,0.7390294851065652,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
EASY,Maximum Difference Between Increasing Elements,64.9,0.586268788254956,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Array
MEDIUM,Snakes and Ladders,64.9,0.4401399439999851,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
MEDIUM,LRU Cache,64.9,0.4443103226198868,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Find Third Transaction,64.9,0.5336314514626421,https://leetcode.com/problems/find-third-transaction,Database
MEDIUM,Merge Intervals,63.0,0.4880653523460517,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Find the Largest Area of Square Inside Two Rectangles,63.0,0.45374192293562116,https://leetcode.com/problems/find-the-largest-area-of-square-inside-two-rectangles,"Array, Math, Geometry"
HARD,Word Search II,63.0,0.37015774080691183,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Minimum Cost to Make Array Equal,63.0,0.4614550971750596,https://leetcode.com/problems/minimum-cost-to-make-array-equal,"Array, Binary Search, Greedy, Sorting, Prefix Sum"
MEDIUM,Number of Equal Count Substrings,63.0,0.44864420706655717,https://leetcode.com/problems/number-of-equal-count-substrings,"String, Counting, Prefix Sum"
EASY,Check if Binary String Has at Most One Segment of Ones,63.0,0.3921296189086755,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones,String
HARD,Sum of k-Mirror Numbers,63.0,0.4239101075036465,https://leetcode.com/problems/sum-of-k-mirror-numbers,"Math, Enumeration"
EASY,Two Sum,58.7,0.5507381475120647,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Happy Number,58.7,0.5756144102264618,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Best Time to Buy and Sell Stock,56.1,0.5476981571321189,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Cherry Pickup,56.1,0.3756434374547785,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
EASY,Valid Parentheses,56.1,0.41845177040975096,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Max Points on a Line,56.1,0.2842573304847252,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
HARD,Trapping Rain Water,53.1,0.6428748164887914,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Strange Printer,49.6,0.6092484570451862,https://leetcode.com/problems/strange-printer,"String, Dynamic Programming"
HARD,Remove Boxes,49.6,0.48160728616487186,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
MEDIUM,Decode String,49.6,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
HARD,Burst Balloons,45.2,0.6062604022253189,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,45.2,0.36326722133772227,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Expressive Words,45.2,0.4631067313253548,https://leetcode.com/problems/expressive-words,"Array, Two Pointers, String"
MEDIUM,Palindromic Substrings,45.2,0.712685847266114,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest Palindromic Subsequence,45.2,0.6366039736819323,https://leetcode.com/problems/longest-palindromic-subsequence,"String, Dynamic Programming"
