Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Count Palindromic Subsequences,100.0,0.38648175347418373,https://leetcode.com/problems/count-palindromic-subsequences,"String, Dynamic Programming"
HARD,Minimum Operations to Make Numbers Non-positive,90.3,0.41500192086054555,https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive,"Array, Binary Search"
MEDIUM,Palindromic Substrings,79.2,0.7126854175577977,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Insert Delete GetRandom O(1),79.2,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Evaluate Division,79.2,0.6274952877381696,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
HARD,Parallel Courses III,73.9,0.6684587149160209,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
HARD,Design Excel Sum Formula,67.0,0.44054976303317533,https://leetcode.com/problems/design-excel-sum-formula,"Array, Graph, Design, Topological Sort, Matrix"
MEDIUM,Design Circular Queue,67.0,0.5236253635437477,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
HARD,Sort Items by Groups Respecting Dependencies,67.0,0.6574309001504368,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Find the Duplicate Number,67.0,0.6234289285045418,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
HARD,Couples Holding Hands,67.0,0.5814958677685951,https://leetcode.com/problems/couples-holding-hands,"Greedy, Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Merge Intervals,67.0,0.48806509798293457,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Fizz Buzz,67.0,0.7390293520807135,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
MEDIUM,Length of Longest Subarray With at Most K Frequency,67.0,0.5589219970233331,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Array, Hash Table, Sliding Window"
HARD,LFU Cache,67.0,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,LRU Cache,67.0,0.4443100242806049,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Merge k Sorted Lists,67.0,0.5579528330363718,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,Max Points on a Line,57.4,0.2842576917602082,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
MEDIUM,"Pow(x, n)",57.4,0.3647741102508151,https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,Climbing Stairs,57.4,0.5334308111113989,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
HARD,Rank Transform of a Matrix,57.4,0.4125790667144051,https://leetcode.com/problems/rank-transform-of-a-matrix,"Array, Union Find, Graph, Topological Sort, Sorting, Matrix"
MEDIUM,Number of Islands,57.4,0.6158089928119199,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Design Front Middle Back Queue,57.4,0.5703761278767193,https://leetcode.com/problems/design-front-middle-back-queue,"Array, Linked List, Design, Queue, Data Stream"
HARD,Sliding Window Maximum,57.4,0.4724662014579242,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Paint House,57.4,0.6342340874879238,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
MEDIUM,Letter Combinations of a Phone Number,57.4,0.6308020674822422,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Search Suggestions System,57.4,0.6504573310484412,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Count Number of Maximum Bitwise-OR Subsets,57.4,0.8805895327852418,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets,"Array, Backtracking, Bit Manipulation, Enumeration"
HARD,Serialize and Deserialize Binary Tree,57.4,0.5835188850889353,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Binary Tree Zigzag Level Order Traversal,57.4,0.6100933771069217,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
