Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Non-decreasing Subarray From Two Arrays,100.0,0.2989623190816836,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,"Array, Dynamic Programming"
HARD,Binary Tree Maximum Path Sum,97.3,0.4090452885213874,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Delete and Earn,95.1,0.5663122502508494,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
MEDIUM,Minimum Knight Moves,93.5,0.41153714407536846,https://leetcode.com/problems/minimum-knight-moves,Breadth-First Search
MEDIUM,Minimum Equal Sum of Two Arrays After Replacing Zeros,81.1,0.36328779146985113,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
MEDIUM,Number of Good Binary Strings,77.9,0.522723771375751,https://leetcode.com/problems/number-of-good-binary-strings,Dynamic Programming
HARD,LFU Cache,76.0,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Palindromic Substrings,71.7,0.7126854175577977,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest String Chain,69.2,0.6169817180366625,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,Subarray Sums Divisible by K,69.2,0.5552732795967054,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
EASY,Best Time to Buy and Sell Stock,66.4,0.5476981006566758,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,LRU Cache,66.4,0.4443100242806049,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Evaluate Reverse Polish Notation,66.4,0.5407070841811524,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
HARD,Serialize and Deserialize Binary Tree,63.1,0.5835188850889353,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Find the Duplicate Number,59.3,0.6234289285045418,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Permutations,59.3,0.8013989296294045,https://leetcode.com/problems/permutations,"Array, Backtracking"
HARD,Sudoku Solver,59.3,0.636724036210914,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
HARD,Minimum Operations to Make Numbers Non-positive,59.3,0.41500192086054555,https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive,"Array, Binary Search"
HARD,Sliding Window Maximum,59.3,0.4724662014579242,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
HARD,Find Median from Data Stream,59.3,0.5297426733978764,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Validate Binary Search Tree,59.3,0.33980420123401667,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Robot Room Cleaner,54.5,0.7716242395404955,https://leetcode.com/problems/robot-room-cleaner,"Backtracking, Interactive"
HARD,Design Search Autocomplete System,54.5,0.4927223143493807,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
HARD,Minimum Costs Using the Train Line,54.5,0.7752098356779762,https://leetcode.com/problems/minimum-costs-using-the-train-line,"Array, Dynamic Programming"
MEDIUM,Best Time to Buy and Sell Stock II,54.5,0.6885637313145749,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Number of Islands,54.5,0.6158089928119199,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Evaluate Division,54.5,0.6274952877381696,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
HARD,N-Queens,54.5,0.7166911518963466,https://leetcode.com/problems/n-queens,"Array, Backtracking"
HARD,Trapping Rain Water,54.5,0.6428750071257813,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Regular Expression Matching,54.5,0.28971867492351294,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Count Ways To Build Good Strings,48.5,0.592922430434829,https://leetcode.com/problems/count-ways-to-build-good-strings,Dynamic Programming
MEDIUM,Group Anagrams,48.5,0.7033699811854448,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Maximum Total Damage With Spell Casting,48.5,0.2717248908296943,https://leetcode.com/problems/maximum-total-damage-with-spell-casting,"Array, Hash Table, Two Pointers, Binary Search, Dynamic Programming, Sorting, Counting"
MEDIUM,Maximum Length of Repeated Subarray,48.5,0.5098019448795694,https://leetcode.com/problems/maximum-length-of-repeated-subarray,"Array, Binary Search, Dynamic Programming, Sliding Window, Rolling Hash, Hash Function"
MEDIUM,Length of Longest Subarray With at Most K Frequency,48.5,0.5589219970233331,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Array, Hash Table, Sliding Window"
HARD,Median of Two Sorted Arrays,48.5,0.429393714636432,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,3Sum,48.5,0.36423056977716844,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Best Time to Buy and Sell Stock III,48.5,0.5025457578766519,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
HARD,Longest Increasing Path in a Matrix,48.5,0.549107914113888,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
MEDIUM,Minimum Height Trees,48.5,0.41949286830331317,https://leetcode.com/problems/minimum-height-trees,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Maximal Square,48.5,0.4822798390261847,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,House Robber,48.5,0.5198828515139704,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Rotting Oranges,48.5,0.5596875587148494,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Bus Routes,40.0,0.4706137576435859,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
HARD,Merge k Sorted Lists,40.0,0.5579528330363718,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,Parallel Courses III,40.0,0.6684587149160209,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
HARD,Best Position for a Service Centre,40.0,0.34775811393909073,https://leetcode.com/problems/best-position-for-a-service-centre,"Array, Math, Geometry, Randomized"
MEDIUM,Subarray Sum Equals K,40.0,0.4493133959130834,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,First Completely Painted Row or Column,40.0,0.643119806931302,https://leetcode.com/problems/first-completely-painted-row-or-column,"Array, Hash Table, Matrix"
EASY,Valid Parentheses,40.0,0.4184517140756885,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Simplify Path,40.0,0.4659590867505188,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Container With Most Water,40.0,0.5717347817514656,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Couples Holding Hands,40.0,0.5814958677685951,https://leetcode.com/problems/couples-holding-hands,"Greedy, Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Implement Trie (Prefix Tree),40.0,0.674464083111349,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Combination Sum,40.0,0.739312724075368,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Longest Common Subsequence,40.0,0.5799225271013987,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
MEDIUM,Unique Paths,40.0,0.6540334939594389,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
HARD,The Skyline Problem,40.0,0.4363147821581098,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
MEDIUM,Search Suggestions System,40.0,0.6504561842720006,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Insert Delete GetRandom O(1),40.0,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Basic Calculator,40.0,0.44856090532806625,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Populating Next Right Pointers in Each Node II,40.0,0.548507686342885,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Permutations II,40.0,0.6099587606300106,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting"
HARD,Word Ladder,40.0,0.41846709349100514,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,Best Time to Buy and Sell Stock IV,40.0,0.4603548503998769,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
HARD,Transform to Chessboard,40.0,0.5063154570812063,https://leetcode.com/problems/transform-to-chessboard,"Array, Math, Bit Manipulation, Matrix"
HARD,Alien Dictionary,40.0,0.36424325014905035,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Knight Probability in Chessboard,40.0,0.564765761564296,https://leetcode.com/problems/knight-probability-in-chessboard,Dynamic Programming
MEDIUM,Perfect Squares,40.0,0.5543479809637799,https://leetcode.com/problems/perfect-squares,"Math, Dynamic Programming, Breadth-First Search"
