Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design Circular Queue,100.0,0.5236260468451651,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,4Sum,95.7,0.37601825595563015,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,3Sum,94.0,0.36423329845043406,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Design a Stack With Increment Operation,85.6,0.8046685181714401,https://leetcode.com/problems/design-a-stack-with-increment-operation,"Array, Stack, Design"
MEDIUM,Number of Islands,71.3,0.6158146724196114,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Game of Life,65.3,0.7094422174961672,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
MEDIUM,Design Hit Counter,65.3,0.6901442454307032,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
EASY,Fizz Buzz,56.9,0.7390339643184275,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
HARD,Reaching Points,56.9,0.33551289906629234,https://leetcode.com/problems/reaching-points,Math
MEDIUM,LRU Cache,56.9,0.4443129103994508,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
