Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Palindrome Number,100.0,0.586536177077048,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Managers with at Least 5 Direct Reports,85.5,0.49128602630263624,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Database
EASY,Fibonacci Number,85.5,0.7253664165299015,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
EASY,Two Sum,78.0,0.5507386590724229,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Longest Common Prefix,78.0,0.44888001042767267,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Valid Parentheses,78.0,0.418452726884713,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Reverse Integer,78.0,0.2986435155376927,https://leetcode.com/problems/reverse-integer,Math
EASY,Merge Two Sorted Lists,67.5,0.6628960986130782,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Consecutive Numbers,67.5,0.45380394866046986,https://leetcode.com/problems/consecutive-numbers,Database
EASY,Binary Search,67.5,0.5914254343916859,https://leetcode.com/problems/binary-search,"Array, Binary Search"
EASY,Move Zeroes,67.5,0.6254460702396147,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Counter,67.5,0.8204808548530721,https://leetcode.com/problems/counter,
MEDIUM,3Sum,67.5,0.36423172802550896,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Happy Number,67.5,0.5756161696821053,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Smallest Value of the Rearranged Number,67.5,0.5266023765298593,https://leetcode.com/problems/smallest-value-of-the-rearranged-number,"Math, Sorting"
MEDIUM,Count Primes,67.5,0.34430337744312645,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
