Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Zigzag Iterator,100.0,0.6518901557732455,https://leetcode.com/problems/zigzag-iterator,"Array, Design, Queue, Iterator"
MEDIUM,Simple Bank System,96.6,0.6338909634055265,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
EASY,Decode the Message,94.7,0.8518832791212936,https://leetcode.com/problems/decode-the-message,"Hash Table, String"
HARD,Design In-Memory File System,84.8,0.480304335343095,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
HARD,Text Justification,72.6,0.4709330190676316,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Design File System,72.6,0.63793291221956,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
MEDIUM,Time Based Key-Value Store,72.6,0.4936204160978852,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Number of Orders in the Backlog,66.3,0.5123050948455656,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Array, Heap (Priority Queue), Simulation"
MEDIUM,Check if There is a Valid Partition For The Array,66.3,0.5191910671076875,https://leetcode.com/problems/check-if-there-is-a-valid-partition-for-the-array,"Array, Dynamic Programming"
MEDIUM,Random Pick with Weight,66.3,0.4820839360347689,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Simplify Path,57.5,0.4659600798106264,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Evaluate Division,57.5,0.6274978884855024,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
MEDIUM,Find the Length of the Longest Common Prefix,57.5,0.5629081231022979,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
