Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4443110186522549,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Time Based Key-Value Store,84.3,0.49362132086900123,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
HARD,Sudoku Solver,77.4,0.6367229215174804,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
HARD,Wildcard Matching,77.4,0.2936449311838041,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
HARD,Regular Expression Matching,72.8,0.28971998866074733,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Debounce,72.8,0.9160428027857526,https://leetcode.com/problems/debounce,
MEDIUM,Valid Sudoku,72.8,0.6165265534638352,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,Count Subarrays With Median K,58.6,0.44923897206980995,https://leetcode.com/problems/count-subarrays-with-median-k,"Array, Hash Table, Prefix Sum"
HARD,Minimum Time to Eat All Grains,58.6,0.3920980245061265,https://leetcode.com/problems/minimum-time-to-eat-all-grains,"Array, Two Pointers, Binary Search, Sorting"
HARD,Number of Atoms,58.6,0.6506589414397168,https://leetcode.com/problems/number-of-atoms,"Hash Table, String, Stack, Sorting"
