Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,LFU Cache,100.0,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Course Schedule,89.5,0.4847677771612034,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Longest Repeating Substring,89.5,0.62729136373388,https://leetcode.com/problems/longest-repeating-substring,"String, Binary Search, Dynamic Programming, Rolling Hash, Suffix Array, Hash Function"
MEDIUM,LRU Cache,82.0,0.44431037243296573,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Shopping Offers,82.0,0.5181849406556501,https://leetcode.com/problems/shopping-offers,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
MEDIUM,Find K Closest Elements,82.0,0.48347359407228685,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Single Element in a Sorted Array,82.0,0.5915621439892149,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,Group Anagrams,71.5,0.7033699829596762,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Number of Distinct Islands,71.5,0.6197944599377883,https://leetcode.com/problems/number-of-distinct-islands,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
MEDIUM,Open the Lock,71.5,0.6057795374354823,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
HARD,Find Median from Data Stream,71.5,0.5297422453954074,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Design Hit Counter,71.5,0.690145319433361,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
EASY,Split Strings by Separator,71.5,0.7550258105678325,https://leetcode.com/problems/split-strings-by-separator,"Array, String"
HARD,Distinct Subsequences,71.5,0.49441486930424616,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
MEDIUM,Design Twitter,71.5,0.4158191770746404,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
HARD,Wildcard Matching,71.5,0.29364447283067296,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,71.5,0.3632672921516049,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
