Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Design In-Memory File System,100.0,0.4802936773240909,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,LRU Cache,100.0,0.44431037243296573,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Possible Bipartition,95.9,0.5118917103826474,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Unique Paths II,95.9,0.42759245124889633,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Unique Paths,91.0,0.6540333117108035,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
HARD,LFU Cache,91.0,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Decode String,85.0,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Design Twitter,85.0,0.4158191770746404,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
MEDIUM,Subsets,85.0,0.8025900356722065,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Word Break,85.0,0.4787520674255411,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
HARD,Regular Expression Matching,85.0,0.2897196261682243,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Number of Islands,77.3,0.6158096578229466,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Longest Substring with At Most K Distinct Characters,77.3,0.49317771778670244,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
MEDIUM,Search a 2D Matrix,77.3,0.5177724068516931,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
HARD,Longest Duplicate Substring,66.4,0.3064277951534358,https://leetcode.com/problems/longest-duplicate-substring,"String, Binary Search, Sliding Window, Rolling Hash, Suffix Array, Hash Function"
MEDIUM,Split BST,66.4,0.8246409731458374,https://leetcode.com/problems/split-bst,"Tree, Binary Search Tree, Recursion, Binary Tree"
MEDIUM,Increasing Triplet Subsequence,66.4,0.3917274594815037,https://leetcode.com/problems/increasing-triplet-subsequence,"Array, Greedy"
HARD,Basic Calculator,66.4,0.44856311103680163,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
HARD,Range Module,66.4,0.4404451721343132,https://leetcode.com/problems/range-module,"Design, Segment Tree, Ordered Set"
EASY,Find Pivot Index,66.4,0.5989555496973812,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Search a 2D Matrix II,66.4,0.5444939099367563,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
MEDIUM,Cheapest Flights Within K Stops,66.4,0.40061280946878175,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Basic Calculator II,66.4,0.45257368448080576,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Number of Atoms,66.4,0.6506589414397168,https://leetcode.com/problems/number-of-atoms,"Hash Table, String, Stack, Sorting"
HARD,Bus Routes,66.4,0.47061101435641456,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Course Schedule,66.4,0.4847677771612034,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Maximum Number of Tasks You Can Assign,66.4,0.33847583643122675,https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign,"Array, Binary Search, Greedy, Queue, Sorting, Monotonic Queue"
HARD,Sliding Window Maximum,66.4,0.47246724525065154,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
