Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Subsets,100.0,0.8025900356722065,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Word Break,98.0,0.4787520674255411,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Decode String,98.0,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
HARD,LFU Cache,95.8,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring with At Most K Distinct Characters,95.8,0.49317771778670244,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
MEDIUM,Split BST,93.4,0.8246409731458374,https://leetcode.com/problems/split-bst,"Tree, Binary Search Tree, Recursion, Binary Tree"
MEDIUM,LRU Cache,93.4,0.44431037243296573,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Range Module,93.4,0.4404451721343132,https://leetcode.com/problems/range-module,"Design, Segment Tree, Ordered Set"
EASY,Find Pivot Index,93.4,0.5989555496973812,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
HARD,Design In-Memory File System,84.5,0.4802936773240909,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,Design Twitter,80.7,0.4158191770746404,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
MEDIUM,Unique Paths II,80.7,0.42759245124889633,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Possible Bipartition,80.7,0.5118917103826474,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Course Schedule,80.7,0.4847677771612034,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Longest Repeating Substring,76.2,0.62729136373388,https://leetcode.com/problems/longest-repeating-substring,"String, Binary Search, Dynamic Programming, Rolling Hash, Suffix Array, Hash Function"
MEDIUM,Unique Paths,76.2,0.6540333117108035,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
