Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Unique Paths II,100.0,0.4275919995211087,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,LRU Cache,94.2,0.4443127861406516,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Unique Paths III,94.2,0.8219501749929854,https://leetcode.com/problems/unique-paths-iii,"Array, Backtracking, Bit Manipulation, Matrix"
MEDIUM,Merge Intervals,86.8,0.48806637272917636,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Number of Islands,86.8,0.615814600071146,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Two Sum,76.3,0.550739768775545,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Palindrome Permutation II,76.3,0.4201705380770362,https://leetcode.com/problems/palindrome-permutation-ii,"Hash Table, String, Backtracking"
MEDIUM,Unique Paths,76.3,0.6540377666108518,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
HARD,Robot Room Cleaner,76.3,0.7716071147890585,https://leetcode.com/problems/robot-room-cleaner,"Backtracking, Interactive"
HARD,Word Ladder,76.3,0.418473451869818,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Meeting Rooms II,76.3,0.5191555778730546,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Synonymous Sentences,76.3,0.5637876214120824,https://leetcode.com/problems/synonymous-sentences,"Array, Hash Table, String, Backtracking, Union Find"
