Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Points Tourist Can Earn,100.0,0.4950055041382966,https://leetcode.com/problems/maximum-points-tourist-can-earn,"Array, Dynamic Programming, Matrix"
HARD,Minimum Runes to Add to Cast Spell,97.7,0.46882217090069284,https://leetcode.com/problems/minimum-runes-to-add-to-cast-spell,"Array, Depth-First Search, Breadth-First Search, Union Find, Graph, Topological Sort"
MEDIUM,Minimize Connected Groups by Inserting Interval,97.7,0.5336505778382054,https://leetcode.com/problems/minimize-connected-groups-by-inserting-interval,"Array, Binary Search, Sliding Window, Sorting"
MEDIUM,Find Peak Calling Hours for Each City,97.7,0.6174940898345154,https://leetcode.com/problems/find-peak-calling-hours-for-each-city,Database
HARD,Binary Tree Cameras,95.2,0.47022319456423417,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Count the Number of Incremovable Subarrays II,75.9,0.40221132335226295,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,"Array, Two Pointers, Binary Search"
HARD,Find the Shortest Superstring,59.5,0.44372704153715736,https://leetcode.com/problems/find-the-shortest-superstring,"Array, String, Dynamic Programming, Bit Manipulation, Bitmask"
HARD,Minimum Number of Visited Cells in a Grid,59.5,0.23276601830663615,https://leetcode.com/problems/minimum-number-of-visited-cells-in-a-grid,"Array, Dynamic Programming, Stack, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix, Monotonic Stack"
HARD,Minimum Number of Taps to Open to Water a Garden,59.5,0.5070611850526068,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Shortest Subarray to be Removed to Make Array Sorted,59.5,0.5169496397786928,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted,"Array, Two Pointers, Binary Search, Stack, Monotonic Stack"
HARD,Consecutive Numbers Sum,59.5,0.4201061895542487,https://leetcode.com/problems/consecutive-numbers-sum,"Math, Enumeration"
MEDIUM,Flatten Nested List Iterator,59.5,0.6515950546651197,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Heaters,59.5,0.3940185763508764,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Maximum Product Subarray,59.5,0.3452959907544604,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
HARD,Median of Two Sorted Arrays,59.5,0.4293937713328851,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Find First and Last Position of Element in Sorted Array,59.5,0.4614974488017989,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Find Minimum Cost to Remove Array Elements,59.5,0.15503387059098342,https://leetcode.com/problems/find-minimum-cost-to-remove-array-elements,"Array, Dynamic Programming"
EASY,Majority Element,59.5,0.6549763159654806,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
