Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Binary Tree Cameras,100.0,0.47022319456423417,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Letter Combinations of a Phone Number,97.7,0.6308023830913647,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Best Time to Buy and Sell Stock,81.5,0.5476981810138769,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Number of Wonderful Substrings,81.5,0.6676444568608279,https://leetcode.com/problems/number-of-wonderful-substrings,"Hash Table, String, Bit Manipulation, Prefix Sum"
HARD,Painting the Walls,76.6,0.5031616183948706,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
MEDIUM,Remove K Digits,76.6,0.3444056242426607,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Minimum Size Subarray in Infinite Array,76.6,0.3107218468141875,https://leetcode.com/problems/minimum-size-subarray-in-infinite-array,"Array, Hash Table, Sliding Window, Prefix Sum"
MEDIUM,Insert Delete GetRandom O(1),76.6,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,House Robber,76.6,0.519883110494078,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,Count the Number of Incremovable Subarrays II,70.7,0.40221132335226295,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,"Array, Two Pointers, Binary Search"
MEDIUM,Maximum Subsequence Score,70.7,0.5410696533294419,https://leetcode.com/problems/maximum-subsequence-score,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Removing Minimum Number of Magic Beans,70.7,0.4324998549631606,https://leetcode.com/problems/removing-minimum-number-of-magic-beans,"Array, Greedy, Sorting, Enumeration, Prefix Sum"
HARD,K-th Smallest in Lexicographical Order,70.7,0.42029733636175926,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,Trie
HARD,Sliding Window Maximum,70.7,0.4724662432944326,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
HARD,Minimum Number of Refueling Stops,70.7,0.4040695614250279,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
HARD,Largest Rectangle in Histogram,63.1,0.46599547650834444,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
