Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Binary Tree Cameras,100.0,0.47022319456423417,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Minimum Size Subarray in Infinite Array,89.9,0.3107218468141875,https://leetcode.com/problems/minimum-size-subarray-in-infinite-array,"Array, Hash Table, Sliding Window, Prefix Sum"
MEDIUM,Maximum Subsequence Score,86.1,0.5410696533294419,https://leetcode.com/problems/maximum-subsequence-score,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Removing Minimum Number of Magic Beans,86.1,0.4324998549631606,https://leetcode.com/problems/removing-minimum-number-of-magic-beans,"Array, Greedy, Sorting, Enumeration, Prefix Sum"
MEDIUM,Letter Combinations of a Phone Number,86.1,0.6308023830913647,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
HARD,Minimum Cost Walk in Weighted Graph,83.9,0.45766035227650387,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph,"Array, Bit Manipulation, Union Find, Graph"
EASY,Relative Sort Array,83.9,0.7487979096609638,https://leetcode.com/problems/relative-sort-array,"Array, Hash Table, Sorting, Counting Sort"
MEDIUM,Max Number of K-Sum Pairs,83.9,0.558604259384979,https://leetcode.com/problems/max-number-of-k-sum-pairs,"Array, Hash Table, Two Pointers, Sorting"
HARD,Maximum Points After Collecting Coins From All Nodes,83.9,0.3621793547854104,https://leetcode.com/problems/maximum-points-after-collecting-coins-from-all-nodes,"Array, Dynamic Programming, Bit Manipulation, Tree, Depth-First Search, Memoization"
MEDIUM,Sum Game,83.9,0.48207242102270714,https://leetcode.com/problems/sum-game,"Math, String, Greedy, Game Theory"
MEDIUM,Equal Row and Column Pairs,81.5,0.7035649723582661,https://leetcode.com/problems/equal-row-and-column-pairs,"Array, Hash Table, Matrix, Simulation"
MEDIUM,Query Kth Smallest Trimmed Number,81.5,0.45298484585960097,https://leetcode.com/problems/query-kth-smallest-trimmed-number,"Array, String, Divide and Conquer, Sorting, Heap (Priority Queue), Radix Sort, Quickselect"
HARD,Number of Subarrays With AND Value of K,81.5,0.3412312792957585,https://leetcode.com/problems/number-of-subarrays-with-and-value-of-k,"Array, Binary Search, Bit Manipulation, Segment Tree"
MEDIUM,Greatest Sum Divisible by Three,81.5,0.5073264275880155,https://leetcode.com/problems/greatest-sum-divisible-by-three,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Minimum Deletions to Make String K-Special,81.5,0.44278907176595433,https://leetcode.com/problems/minimum-deletions-to-make-string-k-special,"Hash Table, String, Greedy, Sorting, Counting"
MEDIUM,Number of Substrings Containing All Three Characters,81.5,0.6876319621764337,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters,"Hash Table, String, Sliding Window"
HARD,Maximum Strength of K Disjoint Subarrays,81.5,0.2719561072415269,https://leetcode.com/problems/maximum-strength-of-k-disjoint-subarrays,"Array, Dynamic Programming, Prefix Sum"
HARD,Maximum Deletions on a String,81.5,0.34395061728395065,https://leetcode.com/problems/maximum-deletions-on-a-string,"String, Dynamic Programming, Rolling Hash, String Matching, Hash Function"
HARD,Find the Sum of the Power of All Subsequences,81.5,0.3690946221919673,https://leetcode.com/problems/find-the-sum-of-the-power-of-all-subsequences,"Array, Dynamic Programming"
MEDIUM,Median of a Row Wise Sorted Matrix,81.5,0.689095127610209,https://leetcode.com/problems/median-of-a-row-wise-sorted-matrix,"Array, Binary Search, Matrix"
EASY,Find the Maximum Divisibility Score,81.5,0.5016530437106963,https://leetcode.com/problems/find-the-maximum-divisibility-score,Array
MEDIUM,Find Peak Calling Hours for Each City,81.5,0.6174940898345154,https://leetcode.com/problems/find-peak-calling-hours-for-each-city,Database
EASY,Determine the Winner of a Bowling Game,81.5,0.3545292198917579,https://leetcode.com/problems/determine-the-winner-of-a-bowling-game,"Array, Simulation"
MEDIUM,Shortest String That Contains Three Strings,81.5,0.3127961224971409,https://leetcode.com/problems/shortest-string-that-contains-three-strings,"String, Greedy, Enumeration"
EASY,Take Gifts From the Richest Pile,81.5,0.7574782680041975,https://leetcode.com/problems/take-gifts-from-the-richest-pile,"Array, Heap (Priority Queue), Simulation"
HARD,Count the Number of Incremovable Subarrays II,76.0,0.40221132335226295,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,"Array, Two Pointers, Binary Search"
MEDIUM,Number of Wonderful Substrings,68.9,0.6676444568608279,https://leetcode.com/problems/number-of-wonderful-substrings,"Hash Table, String, Bit Manipulation, Prefix Sum"
MEDIUM,Insert Delete GetRandom O(1),68.9,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Best Time to Buy and Sell Stock,68.9,0.5476981810138769,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,K-th Smallest in Lexicographical Order,64.3,0.42029733636175926,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,Trie
MEDIUM,Remove K Digits,64.3,0.3444056242426607,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
HARD,Painting the Walls,64.3,0.5031616183948706,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
MEDIUM,House Robber,64.3,0.519883110494078,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Majority Element,64.3,0.6549763728031485,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
HARD,Minimum Number of Refueling Stops,64.3,0.4040695614250279,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
HARD,Minimum Number of Taps to Open to Water a Garden,64.3,0.5070611850526068,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Best Time to Buy and Sell Stock II,58.8,0.6885636034233434,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
HARD,Longest Increasing Path in a Matrix,58.8,0.5491078248092353,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
HARD,Median of Two Sorted Arrays,58.8,0.4293937713328851,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Sliding Window Maximum,58.8,0.4724662432944326,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Longest Consecutive Sequence,58.8,0.4719069627890603,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Maximal Square,58.8,0.48227962955558357,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Maximum Product Subarray,58.8,0.3452959907544604,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Maximum Subarray,58.8,0.5173372167927168,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Peak Index in a Mountain Array,51.7,0.6777308051945117,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search"
MEDIUM,Unique Paths,51.7,0.6540331070410512,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Min Cost to Connect All Points,51.7,0.6837618657969244,https://leetcode.com/problems/min-cost-to-connect-all-points,"Array, Union Find, Graph, Minimum Spanning Tree"
MEDIUM,Average Waiting Time,51.7,0.7308441361925752,https://leetcode.com/problems/average-waiting-time,"Array, Simulation"
MEDIUM,All Nodes Distance K in Binary Tree,51.7,0.6585740529583175,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Largest Rectangle in Histogram,51.7,0.46599547650834444,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Jump Game II,51.7,0.4113851082615136,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,Trapping Rain Water,51.7,0.6428745912239254,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Minimum Number of Pushes to Type Word II,51.7,0.8029390226918429,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-ii,"Hash Table, String, Greedy, Sorting, Counting"
MEDIUM,Koko Eating Bananas,51.7,0.4882386406773344,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Generate Parentheses,51.7,0.7652983483077801,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Find the Smallest Divisor Given a Threshold,51.7,0.6264422167580859,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
MEDIUM,Task Scheduler,51.7,0.610292664115186,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Spiral Matrix,51.7,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Maximum Performance of a Team,51.7,0.47558032799295946,https://leetcode.com/problems/maximum-performance-of-a-team,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Basic Calculator II,51.7,0.45257273688243466,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Maximal Rectangle,51.7,0.5288766460503644,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
HARD,Max Sum of Rectangle No Larger Than K,51.7,0.4447734285849331,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,"Array, Binary Search, Matrix, Prefix Sum, Ordered Set"
HARD,Number of Ways to Reorder Array to Get Same BST,41.9,0.5352840560886148,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst,"Array, Math, Divide and Conquer, Dynamic Programming, Tree, Union Find, Binary Search Tree, Memoization, Combinatorics, Binary Tree"
MEDIUM,Cheapest Flights Within K Stops,41.9,0.40061280946878175,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Next Permutation,41.9,0.4232406617933256,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Implement Stack using Queues,41.9,0.6649298253751255,https://leetcode.com/problems/implement-stack-using-queues,"Stack, Design, Queue"
HARD,Reverse Nodes in k-Group,41.9,0.6204625277820844,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Combination Sum,41.9,0.739313045442652,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Interleaving String,41.9,0.41395335768850233,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
MEDIUM,3Sum,41.9,0.364231135831798,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Validate Binary Search Tree,41.9,0.3398043604993277,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Valid Parentheses,41.9,0.4184516519740359,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Minimum Number of Visited Cells in a Grid,41.9,0.23276601830663615,https://leetcode.com/problems/minimum-number-of-visited-cells-in-a-grid,"Array, Dynamic Programming, Stack, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix, Monotonic Stack"
MEDIUM,Maximum OR,41.9,0.4121258431703204,https://leetcode.com/problems/maximum-or,"Array, Greedy, Bit Manipulation, Prefix Sum"
MEDIUM,Minimum Size Subarray Sum,41.9,0.48744811957552625,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,4Sum,41.9,0.37601591873213214,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Maximum Points You Can Obtain from Cards,41.9,0.5486822621358478,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,"Array, Sliding Window, Prefix Sum"
MEDIUM,Egg Drop With 2 Eggs and N Floors,41.9,0.735985412225306,https://leetcode.com/problems/egg-drop-with-2-eggs-and-n-floors,"Math, Dynamic Programming"
HARD,Basic Calculator,41.9,0.44856311103680163,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
HARD,First Missing Positive,41.9,0.40634289602807916,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Smallest Range Covering Elements from K Lists,41.9,0.698285078618604,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Open the Lock,41.9,0.6057795374354823,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
HARD,Put Marbles in Bags,41.9,0.6594808335421183,https://leetcode.com/problems/put-marbles-in-bags,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Edit Distance,41.9,0.5819004009146251,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Sort Colors,41.9,0.6636207461909871,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Triangle,41.9,0.5860471430753305,https://leetcode.com/problems/triangle,"Array, Dynamic Programming"
HARD,Count of Integers,41.9,0.35204309478620066,https://leetcode.com/problems/count-of-integers,"Math, String, Dynamic Programming"
MEDIUM,Make Costs of Paths Equal in a Binary Tree,41.9,0.5855567738791423,https://leetcode.com/problems/make-costs-of-paths-equal-in-a-binary-tree,"Array, Dynamic Programming, Greedy, Tree, Binary Tree"
