Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design Hit Counter,100.0,0.690145319433361,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,IP to CIDR,91.8,0.5565850827513058,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
MEDIUM,Design Tic-Tac-Toe,80.7,0.5843357470704268,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
MEDIUM,House Robber,79.1,0.5198831180620619,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,House Robber II,79.1,0.43120952153960396,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
MEDIUM,Snapshot Array,73.5,0.36766582325639147,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
HARD,Smallest Range Covering Elements from K Lists,68.6,0.698285078618604,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Minimum Absolute Difference Between Elements With Constraint,68.6,0.34800377982518316,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
MEDIUM,Web Crawler Multithreaded,68.6,0.49623430352824643,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
HARD,Split Message Based on Limit,65.6,0.431437590284094,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
MEDIUM,Time Based Key-Value Store,65.6,0.4936199637111147,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
HARD,Number of Flowers in Full Bloom,57.7,0.5705492453710908,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
HARD,Count Integers in Intervals,52.1,0.358661231913477,https://leetcode.com/problems/count-integers-in-intervals,"Design, Segment Tree, Ordered Set"
MEDIUM,Step-By-Step Directions From a Binary Tree Node to Another,52.1,0.5635914721630675,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
MEDIUM,Second Degree Follower,52.1,0.39650489452640286,https://leetcode.com/problems/second-degree-follower,Database
HARD,Text Justification,52.1,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Web Crawler,44.2,0.6854585553534346,https://leetcode.com/problems/web-crawler,"String, Depth-First Search, Breadth-First Search, Interactive"
HARD,First Missing Positive,44.2,0.40634301339349543,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Maximum Profit in Job Scheduling,44.2,0.5433508147593182,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Course Schedule II,44.2,0.5263017521159113,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Accounts Merge,44.2,0.5887669910448341,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
HARD,Data Stream as Disjoint Intervals,44.2,0.603187889121393,https://leetcode.com/problems/data-stream-as-disjoint-intervals,"Binary Search, Design, Ordered Set"
MEDIUM,Design A Leaderboard,44.2,0.6788381883615129,https://leetcode.com/problems/design-a-leaderboard,"Hash Table, Design, Sorting"
MEDIUM,Longest Palindrome by Concatenating Two Letter Words,44.2,0.4785742126013762,https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words,"Array, Hash Table, String, Greedy, Counting"
MEDIUM,Closest Leaf in a Binary Tree,44.2,0.4690468695024166,https://leetcode.com/problems/closest-leaf-in-a-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,44.2,0.5669944968727209,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
