Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Coin Change,100.0,0.4581321650103458,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Maximum Depth of N-ary Tree,83.3,0.727825242176896,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,"Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Design Circular Queue,83.3,0.5236253635437477,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
EASY,Valid Word Abbreviation,61.7,0.3661181400638188,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
HARD,Binary Tree Maximum Path Sum,61.7,0.4090456614910705,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Maximum Vacation Days,61.7,0.46175153987307005,https://leetcode.com/problems/maximum-vacation-days,"Array, Dynamic Programming, Matrix"
HARD,Sliding Window Median,61.7,0.3868125455871627,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
EASY,Check If It Is a Straight Line,53.7,0.39636658865415625,https://leetcode.com/problems/check-if-it-is-a-straight-line,"Array, Math, Geometry"
EASY,Most Common Word,53.7,0.4448633280451142,https://leetcode.com/problems/most-common-word,"Array, Hash Table, String, Counting"
EASY,Unique Number of Occurrences,53.7,0.7803511747344892,https://leetcode.com/problems/unique-number-of-occurrences,"Array, Hash Table"
MEDIUM,Binary Search Tree to Greater Sum Tree,53.7,0.8833075778552676,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,People Whose List of Favorite Companies Is Not a Subset of Another List,53.7,0.5925173247708659,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,"Array, Hash Table, String"
EASY,Odd String Difference,53.7,0.606562311860325,https://leetcode.com/problems/odd-string-difference,"Array, Hash Table, String"
EASY,Find Words That Can Be Formed by Characters,53.7,0.7090272206023366,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting"
EASY,Greatest Common Divisor of Strings,53.7,0.525305675189688,https://leetcode.com/problems/greatest-common-divisor-of-strings,"Math, String"
