Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Coin Change,100.0,0.4581321650103458,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Most Common Word,93.7,0.4448633280451142,https://leetcode.com/problems/most-common-word,"Array, Hash Table, String, Counting"
EASY,Maximum Depth of N-ary Tree,90.2,0.727825242176896,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,"Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Design Circular Queue,86.1,0.5236253635437477,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
EASY,Valid Word Abbreviation,84.5,0.3661181400638188,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
MEDIUM,Meeting Scheduler,82.7,0.5520729654897845,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
HARD,Sliding Window Median,70.6,0.3868125455871627,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
HARD,Maximum Vacation Days,66.9,0.46175153987307005,https://leetcode.com/problems/maximum-vacation-days,"Array, Dynamic Programming, Matrix"
HARD,Binary Tree Maximum Path Sum,66.9,0.4090456614910705,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Design Add and Search Words Data Structure,66.9,0.4669621057497265,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
MEDIUM,People Whose List of Favorite Companies Is Not a Subset of Another List,62.4,0.5925173247708659,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,"Array, Hash Table, String"
EASY,Check If It Is a Straight Line,56.7,0.39636658865415625,https://leetcode.com/problems/check-if-it-is-a-straight-line,"Array, Math, Geometry"
EASY,Unique Number of Occurrences,48.6,0.7803511747344892,https://leetcode.com/problems/unique-number-of-occurrences,"Array, Hash Table"
MEDIUM,Binary Search Tree to Greater Sum Tree,48.6,0.8833075778552676,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Odd String Difference,48.6,0.606562311860325,https://leetcode.com/problems/odd-string-difference,"Array, Hash Table, String"
EASY,Find Words That Can Be Formed by Characters,48.6,0.7090272206023366,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting"
EASY,Greatest Common Divisor of Strings,48.6,0.525305675189688,https://leetcode.com/problems/greatest-common-divisor-of-strings,"Math, String"
