Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507387535590981,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Palindrome Number,75.8,0.5865356390997741,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Reverse Integer,75.8,0.29864355044801355,https://leetcode.com/problems/reverse-integer,Math
HARD,Merge k Sorted Lists,75.8,0.5579544672415442,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Valid Parentheses,65.8,0.41845225327247165,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Pascal's Triangle,65.8,0.7642551593354525,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Valid Palindrome,65.8,0.501550126165675,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Climbing Stairs,65.8,0.5334306859690069,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Longest Palindromic Substring,65.8,0.3529841065070686,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Maximum Subarray,65.8,0.5173372922089127,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Change Null Values in a Table to the Previous Value,65.8,0.5139728096676737,https://leetcode.com/problems/change-null-values-in-a-table-to-the-previous-value,Database
EASY,Majority Element,65.8,0.6549762716197766,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Managers with at Least 5 Direct Reports,65.8,0.49128721066186665,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Database
MEDIUM,Search in Rotated Sorted Array II,65.8,0.3858967372289241,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search"
EASY,Best Time to Buy and Sell Stock,65.8,0.5476982872025801,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
