Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimize the Difference Between Target and Chosen Elements,100.0,0.3568602818825967,https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements,"Array, Dynamic Programming, Matrix"
HARD,Smallest K-Length Subsequence With Occurrences of a Letter,97.0,0.396797008373303,https://leetcode.com/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Boats to Save People,97.0,0.5994268195670319,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Koko Eating Bananas,93.7,0.48824046471202737,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Robot Collisions,93.7,0.5675209537353626,https://leetcode.com/problems/robot-collisions,"Array, Stack, Sorting, Simulation"
MEDIUM,Asteroid Collision,79.6,0.4510767903592822,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Longest Common Prefix,72.3,0.4488796446491581,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,Maximum Running Time of N Computers,72.3,0.49870339467725894,https://leetcode.com/problems/maximum-running-time-of-n-computers,"Array, Binary Search, Greedy, Sorting"
MEDIUM,Frequency of the Most Frequent Element,72.3,0.4398167613045708,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
HARD,Maximum Fruits Harvested After at Most K Steps,72.3,0.36274999265807173,https://leetcode.com/problems/maximum-fruits-harvested-after-at-most-k-steps,"Array, Binary Search, Sliding Window, Prefix Sum"
EASY,Best Time to Buy and Sell Stock,72.3,0.547698252355226,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Minimize Manhattan Distances,62.1,0.3156751620456782,https://leetcode.com/problems/minimize-manhattan-distances,"Array, Math, Geometry, Sorting, Ordered Set"
MEDIUM,Pour Water Between Buckets to Make Water Levels Equal,62.1,0.6655651024454727,https://leetcode.com/problems/pour-water-between-buckets-to-make-water-levels-equal,"Array, Binary Search"
MEDIUM,Maximum Coins Heroes Can Collect,62.1,0.6854259856444398,https://leetcode.com/problems/maximum-coins-heroes-can-collect,"Array, Two Pointers, Binary Search, Sorting, Prefix Sum"
HARD,Apply Operations to Maximize Frequency Score,62.1,0.37251614811892897,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score,"Array, Binary Search, Sliding Window, Sorting, Prefix Sum"
EASY,Minimum Operations to Make the Array Increasing,62.1,0.807186754392307,https://leetcode.com/problems/minimum-operations-to-make-the-array-increasing,"Array, Greedy"
HARD,Find the Maximum Sum of Node Values,62.1,0.6567713995633384,https://leetcode.com/problems/find-the-maximum-sum-of-node-values,"Array, Dynamic Programming, Greedy, Bit Manipulation, Tree, Sorting"
MEDIUM,The Time When the Network Becomes Idle,62.1,0.5299695831096797,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,"Array, Breadth-First Search, Graph"
EASY,Minimum Operations to Collect Elements,62.1,0.6091971173214366,https://leetcode.com/problems/minimum-operations-to-collect-elements,"Array, Hash Table, Bit Manipulation"
EASY,Two Sum,62.1,0.5507388942477186,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Kth Largest Element in an Array,62.1,0.6762042042556594,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Fruit Into Baskets,62.1,0.45599661646185297,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
MEDIUM,Rotting Oranges,62.1,0.5596881102300177,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Validate IP Address,62.1,0.2769428040445537,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Best Time to Buy and Sell Stock II,62.1,0.6885635985084675,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Reverse Linked List,62.1,0.7865009601562981,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Reverse String,62.1,0.7951851275265301,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
MEDIUM,Generate Parentheses,62.1,0.7652988486711837,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
