Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4443115657807526,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Merge Intervals,91.7,0.48806709609323157,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Ransom Note,91.7,0.6391443253659691,https://leetcode.com/problems/ransom-note,"Hash Table, String, Counting"
MEDIUM,Max Area of Island,91.7,0.7292324401412063,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Valid Parentheses,91.7,0.4184525945183385,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Search in Rotated Sorted Array,80.1,0.42324080772931455,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Valid Word Abbreviation,80.1,0.3661181046244598,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
MEDIUM,Number of Islands,80.1,0.6158108282431859,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Egg Drop With 2 Eggs and N Floors,80.1,0.735985412225306,https://leetcode.com/problems/egg-drop-with-2-eggs-and-n-floors,"Math, Dynamic Programming"
EASY,Valid Anagram,80.1,0.6615060938678794,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Climbing Stairs,80.1,0.5334307924811584,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Generate Parentheses,80.1,0.7652993315044596,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Subarray Sum Equals K,80.1,0.44931361036444506,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Reverse Linked List II,80.1,0.49101430911760047,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Remove All Adjacent Duplicates in String II,80.1,0.591019568069649,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
EASY,Longest Common Prefix,80.1,0.44887997810777447,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
