Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Copy List with Random Pointer,100.0,0.5950412448736729,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Rotting Oranges,94.8,0.559686660566888,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Merge Intervals,94.8,0.4880662106000825,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Implement Trie (Prefix Tree),88.5,0.6744647697350051,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Longest Substring Without Repeating Characters,88.5,0.3632673631742285,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Product of Array Except Self,88.5,0.6738341496495377,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Design Authentication Manager,80.3,0.5812962442633699,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Find Median from Data Stream,80.3,0.5297423417546853,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Top K Frequent Elements,80.3,0.6408030156253127,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Reaching Points,80.3,0.33551139481289094,https://leetcode.com/problems/reaching-points,Math
EASY,Excel Sheet Column Number,80.3,0.6531874979803356,https://leetcode.com/problems/excel-sheet-column-number,"Math, String"
MEDIUM,Sort Colors,80.3,0.6636211656327589,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Valid Parentheses,80.3,0.41845171347286486,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,3Sum,80.3,0.3642312310095717,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Reorder Routes to Make All Paths Lead to the City Zero,68.9,0.6478546054400283,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero,"Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Course Schedule,68.9,0.4847691811850963,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Insert Delete GetRandom O(1),68.9,0.5490679311078451,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Shortest Bridge,68.9,0.5834023760651863,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Peak Index in a Mountain Array,68.9,0.6777310327926626,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search"
MEDIUM,Inorder Successor in BST,68.9,0.504877968048194,https://leetcode.com/problems/inorder-successor-in-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Count Good Nodes in Binary Tree,68.9,0.7332461305120914,https://leetcode.com/problems/count-good-nodes-in-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Two Sum,68.9,0.5507385900010975,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Optimal Partition of String,68.9,0.7809715838326309,https://leetcode.com/problems/optimal-partition-of-string,"Hash Table, String, Greedy"
MEDIUM,LRU Cache,68.9,0.4443110186522549,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Palindrome Permutation,68.9,0.6807956921206256,https://leetcode.com/problems/palindrome-permutation,"Hash Table, String, Bit Manipulation"
MEDIUM,Binary Tree Level Order Traversal,68.9,0.6982016460723891,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
HARD,IPO,68.9,0.5300080233718986,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Boats to Save People,68.9,0.5994236800614463,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Clone Graph,68.9,0.6119143147208121,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Binary Tree Zigzag Level Order Traversal,68.9,0.6100939575444675,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Minesweeper,68.9,0.6774610417171962,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Design Add and Search Words Data Structure,68.9,0.4669624414328178,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
