Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Walls and Gates,100.0,0.6257005727384676,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
MEDIUM,Search Suggestions System,88.3,0.6504550374996033,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
HARD,Binary Tree Maximum Path Sum,83.5,0.4090452885213874,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Longest Increasing Path in a Matrix,83.5,0.549107914113888,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
HARD,Maximum Profit in Job Scheduling,74.4,0.5433501020011582,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Koko Eating Bananas,71.3,0.4882386058875497,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,67.6,0.8218317639298696,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Next Greater Element III,67.6,0.3440673258961401,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
MEDIUM,Minimum Size Subarray Sum,63.1,0.4874478907823787,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,4Sum,57.3,0.37601615398210986,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
HARD,Word Search II,57.3,0.3701571260624688,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Minimize Malware Spread,57.3,0.42199240360003304,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Max Area of Island,57.3,0.7292312901550388,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Basic Calculator II,49.2,0.45257205041625026,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
EASY,Buddy Strings,49.2,0.3352873818383859,https://leetcode.com/problems/buddy-strings,"Hash Table, String"
HARD,Serialize and Deserialize Binary Tree,49.2,0.5835188850889353,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,01 Matrix,49.2,0.5068422605829691,https://leetcode.com/problems/01-matrix,"Array, Dynamic Programming, Breadth-First Search, Matrix"
MEDIUM,Longest Common Subsequence,49.2,0.5799222827401443,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
MEDIUM,Jump Game II,49.2,0.4113846738165773,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,Basic Calculator,49.2,0.448561346471225,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Ways to Make a Fair Array,49.2,0.6433348455358319,https://leetcode.com/problems/ways-to-make-a-fair-array,"Array, Prefix Sum"
MEDIUM,Count Nodes With the Highest Score,49.2,0.5089312087057909,https://leetcode.com/problems/count-nodes-with-the-highest-score,"Array, Tree, Depth-First Search, Binary Tree"
MEDIUM,Find K Closest Elements,49.2,0.4834732150587973,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
HARD,Vertical Order Traversal of a Binary Tree,49.2,0.5037496864925847,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
EASY,Check if One String Swap Can Make Strings Equal,49.2,0.4946871351172619,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,"Hash Table, String, Counting"
MEDIUM,Design File System,49.2,0.6379296261673761,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
