Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Binary Tree Maximum Path Sum,100.0,0.4090452885213874,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Walls and Gates,100.0,0.6257005727384676,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
HARD,Maximum Profit in Job Scheduling,94.5,0.5433501020011582,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Longest Increasing Path in a Matrix,86.3,0.549107914113888,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
MEDIUM,Most Profit Assigning Work,84.6,0.5586504324021025,https://leetcode.com/problems/most-profit-assigning-work,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,Design File System,83.9,0.6379296261673761,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
MEDIUM,Koko Eating Bananas,80.4,0.4882386058875497,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Check if One String Swap Can Make Strings Equal,80.4,0.4946871351172619,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,"Hash Table, String, Counting"
MEDIUM,Count Sub Islands,74.1,0.7284822430041368,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,74.1,0.8218317639298696,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Search Suggestions System,74.1,0.6504550374996033,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
EASY,Find Nearest Point That Has the Same X or Y Coordinate,73.0,0.6919485143858509,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate,Array
MEDIUM,Asteroid Collision,73.0,0.45107642122246544,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Single-Threaded CPU,69.2,0.4609771502041369,https://leetcode.com/problems/single-threaded-cpu,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,Next Greater Element III,69.2,0.3440673258961401,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
HARD,Making A Large Island,67.8,0.542550636867284,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Find K Closest Elements,67.8,0.4834732150587973,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
EASY,Buddy Strings,67.8,0.3352873818383859,https://leetcode.com/problems/buddy-strings,"Hash Table, String"
HARD,Shortest Distance from All Buildings,64.6,0.438444694779607,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
HARD,Serialize and Deserialize Binary Tree,64.6,0.5835188850889353,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Task Scheduler,62.7,0.610292664115186,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Basic Calculator II,60.7,0.45257205041625026,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Basic Calculator III,58.4,0.519165283236524,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
MEDIUM,Implement Trie (Prefix Tree),58.4,0.6744642579079345,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
HARD,Best Meeting Point,58.4,0.611861892238182,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
MEDIUM,Course Schedule II,58.4,0.5263017950864868,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Jump Game,55.9,0.3911363260400059,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Count Nodes With the Highest Score,55.9,0.5089312087057909,https://leetcode.com/problems/count-nodes-with-the-highest-score,"Array, Tree, Depth-First Search, Binary Tree"
EASY,Two Sum,52.9,0.5507380793674538,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Number of Visible People in a Queue,52.9,0.7051585195193746,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
HARD,Swim in Rising Water,52.9,0.622140514215275,https://leetcode.com/problems/swim-in-rising-water,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
MEDIUM,Next Permutation,49.4,0.42324033755035606,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Design In-Memory File System,49.4,0.48029564732325963,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
HARD,Count All Valid Pickup and Delivery Options,49.4,0.6489064224066264,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options,"Math, Dynamic Programming, Combinatorics"
HARD,Largest Rectangle in Histogram,45.1,0.4659951973219007,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,Vertical Order Traversal of a Binary Tree,45.1,0.5037496864925847,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
HARD,Basic Calculator,45.1,0.4485617876136778,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Find the Celebrity,39.6,0.4819098081002611,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
MEDIUM,Immediate Food Delivery II,39.6,0.5375028661604241,https://leetcode.com/problems/immediate-food-delivery-ii,Database
MEDIUM,Interval List Intersections,39.6,0.7245826031082732,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
EASY,Immediate Food Delivery I,39.6,0.8086628854808321,https://leetcode.com/problems/immediate-food-delivery-i,Database
MEDIUM,Maximum Gap,39.6,0.4857730327602742,https://leetcode.com/problems/maximum-gap,"Array, Sorting, Bucket Sort, Radix Sort"
MEDIUM,Capacity To Ship Packages Within D Days,39.6,0.7138854391536156,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Shortest Path to Get Food,39.6,0.564161111274265,https://leetcode.com/problems/shortest-path-to-get-food,"Array, Breadth-First Search, Matrix"
HARD,Sudoku Solver,39.6,0.636724036210914,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,Jump Game II,39.6,0.4113846738165773,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Number of Islands,39.6,0.6158092098671876,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Design Add and Search Words Data Structure,39.6,0.4669613927697641,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
HARD,Maximum Performance of a Team,32.0,0.47558032799295946,https://leetcode.com/problems/maximum-performance-of-a-team,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Longest Common Subsequence,32.0,0.5799222827401443,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
MEDIUM,Mice and Cheese,32.0,0.468517071411397,https://leetcode.com/problems/mice-and-cheese,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Analyze User Website Visit Pattern,32.0,0.4323115117050953,https://leetcode.com/problems/analyze-user-website-visit-pattern,"Array, Hash Table, Sorting"
MEDIUM,Path With Maximum Minimum Value,32.0,0.5392074407559492,https://leetcode.com/problems/path-with-maximum-minimum-value,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
HARD,Subsequence With the Minimum Score,32.0,0.3244274809160305,https://leetcode.com/problems/subsequence-with-the-minimum-score,"Two Pointers, String, Binary Search"
EASY,Move Zeroes,32.0,0.6254444295314378,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Valid Sudoku,32.0,0.6165266886265294,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,Word Search II,32.0,0.3701571260624688,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Employee Free Time,32.0,0.7250129048185471,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,Diameter of N-Ary Tree,32.0,0.7479633471170887,https://leetcode.com/problems/diameter-of-n-ary-tree,"Tree, Depth-First Search"
HARD,Maximum Path Quality of a Graph,32.0,0.5938227205415697,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph"
MEDIUM,3Sum,32.0,0.3642305398717789,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Number of Provinces,32.0,0.6801595594150931,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union Find, Graph"
HARD,Sliding Window Maximum,32.0,0.4724662014579242,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Meeting Rooms II,32.0,0.5191552987461305,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Max Area of Island,32.0,0.7292312901550388,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
