Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Walls and Gates,100.0,0.6257005727384676,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
HARD,Binary Tree Maximum Path Sum,97.3,0.4090452885213874,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Maximum Profit in Job Scheduling,90.9,0.5433501020011582,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Longest Increasing Path in a Matrix,89.0,0.549107914113888,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
MEDIUM,Most Profit Assigning Work,80.3,0.5586504324021025,https://leetcode.com/problems/most-profit-assigning-work,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,Koko Eating Bananas,80.3,0.4882386058875497,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Check if One String Swap Can Make Strings Equal,78.3,0.4946871351172619,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,"Hash Table, String, Counting"
MEDIUM,Search Suggestions System,78.3,0.6504550374996033,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Design File System,77.2,0.6379296261673761,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,74.8,0.8218317639298696,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Find K Closest Elements,72.8,0.4834732150587973,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
EASY,Buddy Strings,70.6,0.3352873818383859,https://leetcode.com/problems/buddy-strings,"Hash Table, String"
MEDIUM,Next Greater Element III,68.9,0.3440673258961401,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
MEDIUM,Single-Threaded CPU,68.9,0.4609771502041369,https://leetcode.com/problems/single-threaded-cpu,"Array, Sorting, Heap (Priority Queue)"
EASY,Find Nearest Point That Has the Same X or Y Coordinate,68.1,0.6919485143858509,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate,Array
HARD,Basic Calculator III,66.1,0.519165283236524,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
MEDIUM,Count Sub Islands,66.1,0.7284822430041368,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Asteroid Collision,65.1,0.45107642122246544,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Making A Large Island,64.0,0.542550636867284,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Shortest Distance from All Buildings,62.8,0.438444694779607,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
HARD,Serialize and Deserialize Binary Tree,62.8,0.5835188850889353,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
HARD,Count All Valid Pickup and Delivery Options,61.5,0.6489064224066264,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Implement Trie (Prefix Tree),57.1,0.6744642579079345,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Immediate Food Delivery II,57.1,0.5375028661604241,https://leetcode.com/problems/immediate-food-delivery-ii,Database
