Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Simple Bank System,100.0,0.6338909634055265,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Max Area of Island,97.6,0.7292314689408201,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Find Duplicate File in System,79.0,0.6759464818329718,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
MEDIUM,Number of Islands,72.4,0.6158106845847897,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Minimize Malware Spread,72.4,0.4219894999759174,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Game of Life,72.4,0.7094407112447431,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
HARD,Minimize Malware Spread II,63.1,0.4445800949171195,https://leetcode.com/problems/minimize-malware-spread-ii,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Web Crawler Multithreaded,63.1,0.4962379728026921,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
MEDIUM,Web Crawler,63.1,0.6854585553534346,https://leetcode.com/problems/web-crawler,"String, Depth-First Search, Breadth-First Search, Interactive"
HARD,Design a Text Editor,63.1,0.4735937768474984,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
HARD,Grid Illumination,63.1,0.3773203484734233,https://leetcode.com/problems/grid-illumination,"Array, Hash Table"
MEDIUM,Letter Combinations of a Phone Number,63.1,0.6308034658015582,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
HARD,Word Break II,63.1,0.5293084716458188,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Design Hit Counter,63.1,0.6901461069078656,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
EASY,Word Pattern,63.1,0.42806098894888983,https://leetcode.com/problems/word-pattern,"Hash Table, String"
MEDIUM,Seat Reservation Manager,63.1,0.7008743316060037,https://leetcode.com/problems/seat-reservation-manager,"Design, Heap (Priority Queue)"
MEDIUM,Word Pattern II,63.1,0.48541767262192176,https://leetcode.com/problems/word-pattern-ii,"Hash Table, String, Backtracking"
HARD,Median of Two Sorted Arrays,63.1,0.4293941531606442,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Number of Valid Words for Each Puzzle,63.1,0.46959766058283753,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle,"Array, Hash Table, String, Bit Manipulation, Trie"
EASY,Two Sum,63.1,0.5507387569679151,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,63.1,0.4880663892565131,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Top K Frequent Elements,63.1,0.6408028798026756,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Check If It Is a Good Array,63.1,0.6091764352913444,https://leetcode.com/problems/check-if-it-is-a-good-array,"Array, Math, Number Theory"
