Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.4184521260698958,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Group Anagrams,97.3,0.7033699413713492,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Two Sum,91.0,0.5507387720594301,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,91.0,0.36326749955067344,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,82.5,0.3529841065070686,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Palindrome,82.5,0.5015500628510283,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Best Time to Buy and Sell Stock,76.9,0.5476982872025801,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Merge Sorted Array,76.9,0.5225688419849354,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
HARD,Trapping Rain Water,76.9,0.6428746777955076,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Merge Two Sorted Lists,69.7,0.6628956062437874,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Gas Station,69.7,0.45978239919949826,https://leetcode.com/problems/gas-station,"Array, Greedy"
EASY,Isomorphic Strings,69.7,0.4641651406894408,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
EASY,Valid Anagram,69.7,0.6615054921231285,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Palindrome Number,69.7,0.5865356390997741,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Partition Equal Subset Sum,59.5,0.47200531777405424,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
MEDIUM,House Robber,59.5,0.5198826698862097,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Asteroid Collision,59.5,0.4510772960802104,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Reverse String,59.5,0.7951851275265301,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
MEDIUM,Minimum Operations to Make a Uni-Value Grid,59.5,0.5374726418903125,https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid,"Array, Math, Sorting, Matrix"
EASY,Remove Duplicates from Sorted Array,59.5,0.594507988169647,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Binary Search,59.5,0.5914249338971376,https://leetcode.com/problems/binary-search,"Array, Binary Search"
EASY,Longest Common Prefix,59.5,0.44887944888292625,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,To Be Or Not To Be,59.5,0.6275512125320079,https://leetcode.com/problems/to-be-or-not-to-be,
EASY,Contains Duplicate,59.5,0.6281695673590335,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Coin Change,59.5,0.4581323302168563,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Ugly Number II,59.5,0.4918462757202491,https://leetcode.com/problems/ugly-number-ii,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)"
MEDIUM,Search in Rotated Sorted Array,59.5,0.423240596684246,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Add Two Numbers,59.5,0.4543984196688149,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Linked List Cycle,59.5,0.5197228781569593,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
EASY,Pascal's Triangle,59.5,0.7642551593354525,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
HARD,Maximal Rectangle,59.5,0.5288756065354397,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
MEDIUM,Edit Distance,59.5,0.5819006256995976,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,3Sum,59.5,0.3642314686396405,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Managers with at Least 5 Direct Reports,59.5,0.49128680187137286,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Database
