Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Additive Number,100.0,0.32299927901946646,https://leetcode.com/problems/additive-number,"String, Backtracking"
MEDIUM,Letter Combinations of a Phone Number,96.9,0.6308040570092284,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Self Dividing Numbers,90.3,0.7938637733223485,https://leetcode.com/problems/self-dividing-numbers,Math
MEDIUM,Stepping Numbers,84.9,0.47524935352789066,https://leetcode.com/problems/stepping-numbers,"Math, Backtracking, Breadth-First Search"
EASY,Valid Parentheses,82.8,0.4184525164437973,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Spiral Matrix,80.4,0.5293308143884757,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Word Search,66.4,0.44626234309745444,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Angle Between Hands of a Clock,60.5,0.6414588374495076,https://leetcode.com/problems/angle-between-hands-of-a-clock,Math
EASY,Two Sum,60.5,0.5507386882953841,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,52.3,0.36326744427900964,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Bulls and Cows,52.3,0.5110193047446275,https://leetcode.com/problems/bulls-and-cows,"Hash Table, String, Counting"
