Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.4184518624179717,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Two Sum,93.2,0.5507384819437589,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Capacity To Ship Packages Within D Days,93.2,0.7138854391536156,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Minimum Number of Swaps to Make the String Balanced,93.2,0.7804247434736815,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy"
MEDIUM,Find the City With the Smallest Number of Neighbors at a Threshold Distance,93.2,0.6938320198596073,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,"Dynamic Programming, Graph, Shortest Path"
MEDIUM,Search in Rotated Sorted Array,84.4,0.42324024147685557,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Number of Islands,84.4,0.6158098025257719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Minimum Replacements to Sort the Array,84.4,0.5330704139066509,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,84.4,0.3632673671706917,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Jump Game II,84.4,0.41138494415139787,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Minimum Swaps to Group All 1's Together,84.4,0.6099540706118266,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,"Array, Sliding Window"
MEDIUM,Set Matrix Zeroes,84.4,0.5893214183113217,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Find the Smallest Divisor Given a Threshold,84.4,0.6264430680321406,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
MEDIUM,Unique Substrings With Equal Digit Frequency,72.1,0.6399716009939652,https://leetcode.com/problems/unique-substrings-with-equal-digit-frequency,"Hash Table, String, Rolling Hash, Counting, Hash Function"
MEDIUM,Rearrange Words in a Sentence,72.1,0.6552301447148132,https://leetcode.com/problems/rearrange-words-in-a-sentence,"String, Sorting"
MEDIUM,Valid Triangle Number,72.1,0.5196254200879609,https://leetcode.com/problems/valid-triangle-number,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,Divide Players Into Teams of Equal Skill,72.1,0.6896085266420401,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,"Array, Hash Table, Two Pointers, Sorting"
MEDIUM,Keys and Rooms,72.1,0.7424661134275626,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph"
MEDIUM,String Compression,72.1,0.5727263770254711,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,The Earliest Moment When Everyone Become Friends,72.1,0.6558459784731887,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,"Array, Union Find, Sorting"
EASY,Most Visited Sector in  a Circular Track,72.1,0.5908561347446908,https://leetcode.com/problems/most-visited-sector-in-a-circular-track,"Array, Simulation"
MEDIUM,The kth Factor of n,72.1,0.6925428721066084,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
MEDIUM,Number of Good Binary Strings,72.1,0.522723771375751,https://leetcode.com/problems/number-of-good-binary-strings,Dynamic Programming
MEDIUM,Break a Palindrome,72.1,0.5153242459429931,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
EASY,Valid Word,72.1,0.3846058454694125,https://leetcode.com/problems/valid-word,String
HARD,Minimum One Bit Operations to Make Integers Zero,72.1,0.7356510447408806,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Dynamic Programming, Bit Manipulation, Memoization"
EASY,Count Number of Pairs With Absolute Difference K,72.1,0.8460598628332652,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,"Array, Hash Table, Counting"
MEDIUM,House Robber,72.1,0.5198823038408449,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Subarray Sums Divisible by K,72.1,0.5552732795967054,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Least Number of Unique Integers after K Removals,72.1,0.6326020024727872,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,"Array, Hash Table, Greedy, Sorting, Counting"
MEDIUM,Add Two Numbers,72.1,0.4543976972152095,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Reverse Linked List,72.1,0.7865004136819703,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Design HashMap,72.1,0.6567428217645924,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Max Consecutive Ones III,72.1,0.6522456022623784,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Permutation in String,72.1,0.46841431116519444,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
EASY,Find Pivot Index,72.1,0.5989550089602903,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
EASY,Best Time to Buy and Sell Stock,72.1,0.5476983352698307,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Climbing Stairs,72.1,0.5334308019913934,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Group Anagrams,72.1,0.7033698227799846,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Merge Two Sorted Lists,72.1,0.6628953295086041,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Rotting Oranges,72.1,0.5596870512309269,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Trapping Rain Water,72.1,0.6428749377482036,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
