Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Smallest Range Covering Elements from K Lists,100.0,0.698285078618604,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Shortest Bridge,96.3,0.5834013395567321,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
HARD,Trapping Rain Water,91.9,0.6428746778550579,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Container With Most Water,86.5,0.5717347811091977,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,79.6,0.3632673669617192,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Minimum Total Cost to Make Arrays Unequal,79.6,0.4157465194431109,https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal,"Array, Hash Table, Greedy, Counting"
MEDIUM,Capacity To Ship Packages Within D Days,76.8,0.7138854391536156,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Asteroid Collision,76.8,0.4510768278911376,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Binary Tree Maximum Path Sum,73.6,0.40904577335466075,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Minimum Adjacent Swaps for K Consecutive Ones,73.6,0.4227597391394362,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,"Array, Greedy, Sliding Window, Prefix Sum"
HARD,Strong Password Checker,69.9,0.14391279347174474,https://leetcode.com/problems/strong-password-checker,"String, Greedy, Heap (Priority Queue)"
MEDIUM,Number of Islands,65.5,0.6158097014419434,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Maximum Points You Can Obtain from Cards,65.5,0.5486822621358478,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,"Array, Sliding Window, Prefix Sum"
MEDIUM,Decode Ways,65.5,0.361050543696366,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Koko Eating Bananas,65.5,0.4882386406773344,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Product of Array Except Self,65.5,0.6738338408668898,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Course Schedule,65.5,0.4847677771612034,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Find K-th Smallest Pair Distance,60.1,0.45596769050908703,https://leetcode.com/problems/find-k-th-smallest-pair-distance,"Array, Two Pointers, Binary Search, Sorting"
EASY,Merge Two Sorted Lists,60.1,0.6628951956336698,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
HARD,Cherry Pickup II,60.1,0.7187069313414197,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
HARD,Maximum Profit in Job Scheduling,60.1,0.5433499666760837,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Create Maximum Number,60.1,0.31843842958842544,https://leetcode.com/problems/create-maximum-number,"Array, Two Pointers, Stack, Greedy, Monotonic Stack"
EASY,Two Sum,60.1,0.5507383178888656,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Binary Tree Zigzag Level Order Traversal,60.1,0.6100934506540245,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,House Robber,53.3,0.519883110494078,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Rank Teams by Votes,53.3,0.5895344320514955,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
