Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Smallest Range Covering Elements from K Lists,100.0,0.698285078618604,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Shortest Bridge,97.5,0.5834013395567321,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
HARD,Trapping Rain Water,94.8,0.6428746778550579,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Maximum Points You Can Obtain from Cards,89.9,0.5486822621358478,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,"Array, Sliding Window, Prefix Sum"
MEDIUM,Container With Most Water,86.1,0.5717347811091977,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Minimum Number of Coins to be Added,84.0,0.5709660417137263,https://leetcode.com/problems/minimum-number-of-coins-to-be-added,"Array, Greedy, Sorting"
MEDIUM,Minimum Cost to Reach City With Discounts,81.6,0.5984823490597163,https://leetcode.com/problems/minimum-cost-to-reach-city-with-discounts,"Graph, Heap (Priority Queue), Shortest Path"
HARD,The Score of Students Solving Math Expression,81.6,0.33333333333333326,https://leetcode.com/problems/the-score-of-students-solving-math-expression,"Array, Math, String, Dynamic Programming, Stack, Memoization"
HARD,Design Movie Rental System,81.6,0.36963139899770503,https://leetcode.com/problems/design-movie-rental-system,"Array, Hash Table, Design, Heap (Priority Queue), Ordered Set"
MEDIUM,Minimum Limit of Balls in a Bag,81.6,0.6783465969830147,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag,"Array, Binary Search"
MEDIUM,Asteroid Collision,81.6,0.4510768278911376,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Numbers With Same Consecutive Differences,81.6,0.5856261286531508,https://leetcode.com/problems/numbers-with-same-consecutive-differences,"Backtracking, Breadth-First Search"
HARD,Triples with Bitwise AND Equal To Zero,81.6,0.5910098487611886,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero,"Array, Hash Table, Bit Manipulation"
HARD,Minimum Total Cost to Make Arrays Unequal,79.0,0.4157465194431109,https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal,"Array, Hash Table, Greedy, Counting"
MEDIUM,Capacity To Ship Packages Within D Days,79.0,0.7138854391536156,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Longest Substring Without Repeating Characters,79.0,0.3632673669617192,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Koko Eating Bananas,76.1,0.4882386406773344,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Binary Tree Maximum Path Sum,76.1,0.40904577335466075,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Cherry Pickup II,72.8,0.7187069313414197,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
HARD,Minimum Adjacent Swaps for K Consecutive Ones,72.8,0.4227597391394362,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,"Array, Greedy, Sliding Window, Prefix Sum"
HARD,Strong Password Checker,68.9,0.14391279347174474,https://leetcode.com/problems/strong-password-checker,"String, Greedy, Heap (Priority Queue)"
HARD,Create Maximum Number,68.9,0.31843842958842544,https://leetcode.com/problems/create-maximum-number,"Array, Two Pointers, Stack, Greedy, Monotonic Stack"
MEDIUM,Product of Array Except Self,68.9,0.6738338408668898,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Decode Ways,68.9,0.361050543696366,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Number of Islands,68.9,0.6158097014419434,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Course Schedule,64.4,0.4847677771612034,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Two Sum,64.4,0.5507383329804497,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Find K-th Smallest Pair Distance,58.9,0.45596769050908703,https://leetcode.com/problems/find-k-th-smallest-pair-distance,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Edit Distance,58.9,0.5819004009146251,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
HARD,Dungeon Game,58.9,0.39117078396891486,https://leetcode.com/problems/dungeon-game,"Array, Dynamic Programming, Matrix"
HARD,Maximum Profit in Job Scheduling,58.9,0.5433499666760837,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Binary Tree Zigzag Level Order Traversal,58.9,0.6100934506540245,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
