Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water,100.0,0.6428752323916056,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,High Five,80.5,0.7440634632700409,https://leetcode.com/problems/high-five,"Array, Hash Table, Sorting, Heap (Priority Queue)"
EASY,First Unique Character in a String,78.3,0.6322655217965654,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Fraction to Recurring Decimal,77.2,0.2588380732395776,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
HARD,Median of Two Sorted Arrays,77.2,0.429393714636432,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Robot Bounded In Circle,73.1,0.5615320286935435,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
MEDIUM,Permutations III,68.1,0.8742565845369583,https://leetcode.com/problems/permutations-iii,"Array, Backtracking"
MEDIUM,Decode Ways,68.1,0.36105053640243673,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,63.8,0.36326696791205315,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Two Sum,58.2,0.5507380277708298,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Construct Smallest Number From DI String,58.2,0.8590968719607355,https://leetcode.com/problems/construct-smallest-number-from-di-string,"String, Backtracking, Stack, Greedy"
MEDIUM,String Compression,58.2,0.572726801988401,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Find the Winner of the Circular Game,58.2,0.8198418795622783,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
MEDIUM,Group Anagrams,54.7,0.7033699227766231,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Design HashMap,54.7,0.6567427613309732,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Best Time to Buy and Sell Stock II,54.7,0.6885637313145749,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
