Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water,100.0,0.6428752323916056,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Robot Bounded In Circle,82.9,0.5615320286935435,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
HARD,Median of Two Sorted Arrays,78.4,0.429393714636432,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,First Unique Character in a String,76.2,0.6322655217965654,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Fraction to Recurring Decimal,74.6,0.2588380732395776,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
HARD,Reaching Points,71.2,0.335514463131133,https://leetcode.com/problems/reaching-points,Math
EASY,Best Time to Buy and Sell Stock,70.5,0.5476980180455959,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,High Five,68.4,0.7440634632700409,https://leetcode.com/problems/high-five,"Array, Hash Table, Sorting, Heap (Priority Queue)"
MEDIUM,Container With Most Water,65.1,0.5717348032460573,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Number of Islands,64.2,0.6158089204601095,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Backspace String Compare,64.2,0.49393990684766464,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,Minimize the Maximum of Two Arrays,61.1,0.3113227558119803,https://leetcode.com/problems/minimize-the-maximum-of-two-arrays,"Math, Binary Search, Number Theory"
MEDIUM,LRU Cache,61.1,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,String Compression,61.1,0.572726801988401,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Find Minimum in Rotated Sorted Array,61.1,0.5215057210984746,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Group Anagrams,61.1,0.7033699227766231,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Minimum Path Sum,60.0,0.6584779754270131,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
EASY,Two Sum,60.0,0.5507380092704022,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Palindromic Substrings,58.8,0.7126854175577977,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest Increasing Subsequence,54.4,0.571708821319385,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,54.4,0.42323970839729985,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
