Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water,100.0,0.6428752323916056,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Median of Two Sorted Arrays,79.0,0.429393714636432,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,First Unique Character in a String,77.5,0.6322655217965654,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Fraction to Recurring Decimal,76.4,0.2588380732395776,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
EASY,Best Time to Buy and Sell Stock,67.5,0.5476980593511396,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Container With Most Water,62.9,0.5717348032460573,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,String Compression,62.1,0.572726801988401,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Number of Islands,62.1,0.6158089204601095,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Group Anagrams,61.3,0.7033699227766231,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Two Sum,61.3,0.5507380092704022,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,LRU Cache,59.5,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Find Minimum in Rotated Sorted Array,58.6,0.5215057210984746,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Decode Ways,57.6,0.36105053640243673,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Minimum Path Sum,57.6,0.6584779754270131,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
HARD,Count Palindromic Subsequences,54.2,0.38648175347418373,https://leetcode.com/problems/count-palindromic-subsequences,"String, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,54.2,0.36326694920948055,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Best Time to Buy and Sell Stock II,54.2,0.6885637313145749,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
HARD,Valid Arrangement of Pairs,52.9,0.6667515413855192,https://leetcode.com/problems/valid-arrangement-of-pairs,"Depth-First Search, Graph, Eulerian Circuit"
MEDIUM,Search in Rotated Sorted Array,52.9,0.42323970839729985,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Construct Smallest Number From DI String,51.5,0.8590968719607355,https://leetcode.com/problems/construct-smallest-number-from-di-string,"String, Backtracking, Stack, Greedy"
MEDIUM,Longest Increasing Subsequence,51.5,0.571708821319385,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,50.0,0.352983545616773,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Minimum Cost Homecoming of a Robot in a Grid,50.0,0.5107479632312771,https://leetcode.com/problems/minimum-cost-homecoming-of-a-robot-in-a-grid,"Array, Greedy"
MEDIUM,Range Product Queries of Powers,50.0,0.4158694557605163,https://leetcode.com/problems/range-product-queries-of-powers,"Array, Bit Manipulation, Prefix Sum"
EASY,Power of Three,48.3,0.47658691246967955,https://leetcode.com/problems/power-of-three,"Math, Recursion"
MEDIUM,Successful Pairs of Spells and Potions,48.3,0.44790083932186564,https://leetcode.com/problems/successful-pairs-of-spells-and-potions,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Count Number of Texts,48.3,0.4859409378090874,https://leetcode.com/problems/count-number-of-texts,"Hash Table, Math, String, Dynamic Programming"
MEDIUM,Find All Good Indices,48.3,0.39448113344776425,https://leetcode.com/problems/find-all-good-indices,"Array, Dynamic Programming, Prefix Sum"
MEDIUM,Merge Intervals,48.3,0.4880650144927678,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Determine if Two Events Have Conflict,48.3,0.5210541087206882,https://leetcode.com/problems/determine-if-two-events-have-conflict,"Array, String"
EASY,Valid Parentheses,48.3,0.4184517326939315,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Keep Multiplying Found Values by Two,48.3,0.7127244291523305,https://leetcode.com/problems/keep-multiplying-found-values-by-two,"Array, Hash Table, Sorting, Simulation"
MEDIUM,Kth Largest Element in an Array,46.5,0.6762043562154747,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Maximum Subarray,46.5,0.5173370618539692,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Sliding Window Maximum,44.4,0.4724660010659033,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,"Pow(x, n)",44.4,0.3647741266943461,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,House Robber,44.4,0.5198828590818658,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Climbing Stairs,44.4,0.5334308111113989,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Linked List Cycle,42.1,0.5197224893999741,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Search a 2D Matrix,42.1,0.5177721985158003,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Jump Game,42.1,0.39113635359621723,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,String to Integer (atoi),39.4,0.1871713970536988,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Product of Array Except Self,39.4,0.6738351261546227,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Insert Delete GetRandom O(1),39.4,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Missing Number,39.4,0.6934727290267753,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Next Permutation,39.4,0.4232404044613796,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Minimum Size Subarray Sum,36.3,0.4874480565652306,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Maximal Square,36.3,0.48227952054773454,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Find Peak Element,36.3,0.4633551121350138,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Intersection of Two Linked Lists,36.3,0.6025967730144908,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
MEDIUM,Decode String,36.3,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Maximum Product Subarray,36.3,0.34529577590337285,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
HARD,N-Queens,36.3,0.7166914911019466,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Word Search,36.3,0.44626243009839556,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Candy,36.3,0.44384126479901576,https://leetcode.com/problems/candy,"Array, Greedy"
HARD,First Missing Positive,36.3,0.4063432481245312,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
EASY,Pascal's Triangle II,36.3,0.6549822701119471,https://leetcode.com/problems/pascals-triangle-ii,"Array, Dynamic Programming"
EASY,Pascal's Triangle,36.3,0.764254934757243,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Permutations,32.4,0.8013989296294045,https://leetcode.com/problems/permutations,"Array, Backtracking"
HARD,Find Median from Data Stream,32.4,0.5297426733978764,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Find the Duplicate Number,32.4,0.6234290033141242,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
EASY,Count Number of Pairs With Absolute Difference K,32.4,0.8460598628332652,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,"Array, Hash Table, Counting"
MEDIUM,Maximum XOR of Two Numbers in an Array,32.4,0.5318564199782104,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array,"Array, Hash Table, Bit Manipulation, Trie"
EASY,Valid Anagram,32.4,0.6615042909112375,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Sqrt(x),32.4,0.4002709051008038,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
